accomplishment,"n. 成就, 完成"
eager,"a. 热心的, 渴望的, 热望的"
electron,"n. 电子
"
embryo,"n. 胚胎, 胎儿, 胚芽
"
exaggerate,"v. 夸大, 夸张"
exclude,"vt. 除外, 排除, 排斥
"
graph,"n. 曲线图, 图表, 图形
"
heyday,"n. 全盛期
interj. 嘿"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
imaginary,"a. 想像的, 虚构的, 假想的"
inclined,"a. 倾向于...的, 想要...的, 可能的, 趋向于...的"
infancy,"n. 幼年, 初期, 幼儿期
"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
interplay,"n. 互相作用, 互相影响
vi. 互相作用"
legendary,"a. 传说的, 传奇中说的, 传奇般的, 传说中的, 著名的"
limestone,"n. 石灰石
"
melting,"a. 熔化的, 温柔的, 令人感动的, 甜美的
"
metabolic,"a. 变化的, 变形的, 新陈代谢的
"
milieu,"n. 周围, 社会环境, 环境, 表达的手法
"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
oblivious,"a. 遗忘的, 健忘的, 不知不觉的
"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
percussion,"n. 敲打, 碰撞, 叩击, 叩诊, 击发, 打击, 打击乐器组
"
physician,"n. 医师, 内科医师, 解除痛苦者
"
portraiture,"n. 肖像绘制(法), 肖像画, 描写"
poster,"n. 海报, 招贴, 驿马"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
prescription,"n. 处方, 命令, 指定
"
pretension,"n. 自负, 骄傲, 主张"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
"
raft,"n. 筏, 救生筏, 大量
vi. 乘筏
vt. 筏运, 制成筏"
ravine,"n. 峡谷, 冲沟, 溪谷"
rayon,"n. 人造丝
"
residential,"a. 住宅的, 与居住有关的
"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
seismology,n. 地震学
shrub,"n. 矮树, 灌木, 果汁甜酒"
sidewalk,n. 人行道
soak,"n. 浸, 湿透, 大雨
vt. 使上下湿透, 浸, 吸入, 吸收, 浸洗掉
vi. 浸泡, 渗透"
sociology,"n. 社会学
"
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
strategic,"a. 战略的, 战略上的
"
sulfur,"n. 硫, 硫磺
vt. 用硫磺处理"
supervise,"v. 监督, 管理, 指导"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
symphony,"n. 交响乐, 交响曲"
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
terrific,"a. 非常好的, 极端的, 可怕的"
torrent,"n. 奔流, 倾盆大雨, 倾注, 迸发"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
adaptable,"a. 能适应的, 适合的, 可修改的"
alter,v. 改变
amass,"vt. 积聚, 堆积"
anthropologist,n. 人类学家
artesian,a. 自动流出的
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
barely,adv. 几乎不
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
bureau,"n. 局, 办公处
"
calculus,n. 结石；微积分学
cognition,"n. 认识, 认识力, 认识的结果
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
concentric,"a. 同中心的, 同轴的
"
copier,"n. 誊写者, 模仿者, 抄写员
"
cowhand,n. （美）牧牛工
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
dated,"a. 有日期的, 陈旧的"
debatable,"a. 可争论的, 成问题的, 未决定的"
decimal,"a. 十进位的, 小数的
n. 十进制, 小数
"
delta,"n. 三角洲, 希腊字母的第四个字
"
demolish,"vt. 毁坏, 破坏, 粉碎"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
digestive,"a. 消化的, 助消化的
n. 助消化药"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
displacement,"n. 换置, 移位, 移动, 取代
"
educated,"a. 受过教育的, 有教养的"
emission,"n. 发射, 射出, 发行
"
enzyme,"n. 酶
"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
extinction,"n. 消失, 消灭, 废止
"
fabric,"n. 织物, 布, 结构, 构造, 建筑物
"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
feasible,"a. 能实行的, 可行的, 适宜的
"
fervor,"n. 热情, 热心, 炽热"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
functional,"a. 功能的
"
fungus,"n. 真菌, 真菌类植物
"
gemstone,n. 经雕琢的宝石
genuine,"a. 真正的, 真实的, 诚恳的
"
granular,"a. 颗粒的, 粒状的
"
grimly,"adv. 严格地, 冷酷地, 可怕地"
hammer,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
impermeable,"a. 不能渗透的, 不能通过的
"
impersonal,"a. 客观的, 和个人无关的, 没有人情味的, 非人称的
n. 非人称动词(或代词)"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
influential,"a. 有影响的, 有势力的"
informative,"a. 提供消息的, 见闻广博的"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
lens,"n. 透镜, 镜头, 镜片, 晶状体
vt. 给...摄影"
mint,"n. 薄荷, 造币厂, 巨额
vt. 铸造, 铸币, 制造"
molecule,"n. 分子, 些微
"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
peninsula,"n. 半岛, 突出的地方, 伊比利亚半岛"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
plasma,"n. 血浆, 淋巴液, 原生质, 等离子体
"
psychoanalysis,"n. 心理分析
"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
quasar,"n. 类星射电源, 类星体"
racing,"n. 赛马, 赛车
"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
rainfall,"n. 降雨, 降雨量
"
reason,"n. 理由, 原因, 理智, 道理, 前提, 理性
vt. 说服, 推论, 辩论
vi. 推论, 劝说, 思考"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
sap,"n. 树液, 体液, 活力, 坑道, 消弱, 警棍
vt. 使排出体液, 使伤元气, 使衰竭, 挖坑道逼近, 逐渐侵蚀
vi. 挖坑道, 消弱
"
solicit,"v. 请求, 乞求, 招揽, 征求"
species,"n. 种, 类, 外形
"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
terrain,"n. 地带, 地区, 地形, 领域, 范围"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
tycoon,"n. 企业界大亨, 将军
"
vegetation,"n. 植物
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
weave,"n. 编法, 织法, 编织式样
vt. 编织, 组合, 编排, 使迂回前进
vi. 纺织, 迂回行进"
abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
annex,"n. 附加物, 附属建筑物
vt. 附加, 盖(印), 并吞"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
battery,"n. 电池, 殴打
"
beach,n. 海滩
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
blanket,"n. 毛毯, 毯子
vt. 掩盖, 覆盖
a. 总共的"
bunch,"n. 串, 束
"
bush,"n. 矮树丛
"
cassette,"n. 盒式磁带, 珠宝箱, 暗盒
"
cite,"vt. 引用, 引证, 表彰
"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
confession,"n. 承认, 坦白, 招供
"
consciously,adv. 自觉地；有意识地
consist,"vi. 组成, 存在于, 一致"
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
"
crisscross,"n. 十字形
a. 十字形的
adv. 十字形地
vt. 画十字形于
vi. 交叉往来"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
definitive,"n. 限定词
a. 限定的, 决定性的"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
descriptive,"a. 描述的, 叙述的"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
enhance,"vt. 提高, 加强, 增加"
enthusiasm,"n. 巨大的热情, 热心"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
expedition,"n. 远征, 探险队, 迅速"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
flock,"n. 兽群, 鸟群, 一群人, 大量, 棉束
vi. 成群而行, 聚集
vt. 用棉束填满"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
gem,"n. 珠宝, 宝石, 珍贵之物
vt. 饰以宝石"
girder,"n. 大梁, 主梁
"
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
hieroglyph,"n. 象形文字, 图画文字"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
incubate,"vt. 孵, 培养, 使发展
vi. 孵蛋, 潜伏, 筑巢, 孵化, 酝酿
n. 孵育物"
insurance,"n. 保险, 保险业, 保险费
"
ironical,"a. 讽刺的, 用反语的"
irresistible,"a. 不可抵抗的, 不能压制的
"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
microbe,"n. 微生物, 细菌
"
microwave,"n. 微波
"
monument,"n. 纪念碑, 纪念物, 石碑"
muscle,"n. 肌肉, 臂力
"
negotiation,"n. 谈判, 磋商, 交涉
"
nerve-cell,[计] 神经细胞
obstacle,"n. 障碍, 妨害物, 阻碍"
oratorio,"n. 圣乐, 清唱剧, 神剧"
photograph,"n. 相片, 照片, 逼真的描绘
v. 照相, 摄影"
pivot,"n. 枢轴, 支点, 旋转运动, 中枢, 关键人物
a. 枢轴的, (如)在枢轴上转动的
vi. 在枢轴上转动, 随着转移
vt. 装枢轴于, 以...为中心旋转
"
plump,"a. 圆胖的, 丰满的, 直接下落的, 直率的
vt. 突然放下, 支持, 使丰满, 使鼓起
vi. 扑通落下, 投票赞成, 变丰满, 鼓起
adv. 沉重地, 突然地, 直截了当地"
polygon,"n. 多角形, 多边形
"
ponderous,"a. 沉重的, 笨重的, 毫无趣味的, 生硬的"
predecessor,"n. 前任, 先辈, 前身
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
puppet,"n. 傀儡, 木偶
"
rational,"a. 理性的, 合理的
n. 有理数"
readily,"adv. 迅速地, 轻易地, 乐意地"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
rejuvenate,"vt. 使年轻, 使复原, 使恢复精神
vi. 返老还童, 复原"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
shuffle,"n. 拖着脚走, 曳步, 混乱, 蒙混, 洗纸牌
v. 拖曳, 马虎地做, 笨手笨脚地穿(脱)衣, 推诿, 洗牌
"
simmer,"vt. 煨
vi. 炖, 内心充满
n. 即将沸腾的状态, 即将发作"
specialized,"a. 专门的, 特别的, 专科的, 特化的, 专化的
"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
symbol,"n. 符号, 象征, 代号, 信条
"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
tentacle,"n. 触须, 触手, 触角
"
tenuous,"a. 稀薄的, 微细的, 纤细的, 脆弱的
"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
ultraviolet,"a. 紫外线的
"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
variation,"n. 变更, 变化, 变种, 变奏
"
abiding,"a. 永久的, 持久的, 不变的"
abundant,"a. 丰富的, 充分的, 大量的"
across,"prep. 越过, 穿过, 与...相交叉, 在...的对面
adv. 交叉, 到另一边, 在对面, 成十字"
aloof,"a. 远离的, 冷淡的
adv. 远离, 冷漠超然地"
amuse,"vt. 消遣, 娱乐, 使发笑"
anatomy,"n. 剖析, 解剖学, 骨骼, 结构
"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
applicable,"a. 合适的, 可应用的
"
application,"n. 应用, 申请, 志愿书, 应用程序
"
assistance,"n. 协助, 援助
"
auditorium,"n. 听众席, 礼堂
"
aware,"a. 知道的, 有觉悟的"
barn,"n. 谷仓
"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
coax,"vt. 哄, 诱骗, 耐心地摆弄
vi. 哄骗
"
commentary,"n. 注释, 评论, 说明
"
conversation,"n. 会话, 说话, 交谈
"
cramped,"a. 狭窄的, 难懂的, 难辨的"
crippling,"(往复)曲折, 断裂, 临界的, 极限的"
decent,"a. 有分寸的, 得体的, 大方的"
dedicate,"vt. 献出, 贡献"
defense,"n. 防卫, 防卫物
"
dissolve,"v. 溶解, 解散"
dorsal,"a. 背的, 背部的, 背侧的
"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
encourage,"vt. 鼓励, 支持, 激励
"
envelope,"n. 信封, 封套, 封袋
"
epitomize,"vt. 摘要, 概括"
excessive,"a. 过度的, 过多的, 极端的
"
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
exhilarating,"a. 令人喜欢的, 使人愉快的, 爽快的"
fortuitous,"a. 偶然的
"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
gravity,"n. 地心引力, 重力
"
horizontal,"n. 水平线, 水平面, 水平位置
a. 水平线的, 平坦的, 横的
n. 水平
"
illusion,"n. 幻影, 错觉, 幻想
"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
menu,"n. 菜单, (功能)选择单
"
monster,"n. 怪物, 恶人, 巨物
"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
mural,"a. 壁的, 壁上的, 壁似的
n. 壁画"
niche,"n. 壁龛
vt. 放入壁龛, 安顿"
nostalgia,"n. 乡愁, 向往过去, 怀旧之情
"
opportunity,"n. 机会, 时机"
organism,"n. 生物, 有机体, 社会组织
"
oxygen,"n. 氧
"
perpendicular,"n. 垂直线, 垂直的位置, 直立(姿势), 刚正, 垂规
a. 垂直的, 直立的, 陡峭的"
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
politics,"n. 政治, 政治学, 政见, 政治活动
"
prestigious,a. 享有声望的
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
quaint,"a. 古雅的, 离奇有趣的, 奇怪的"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
recollection,"n. 记忆, 回想, 回忆"
rhinoceros,n. 犀牛
rivalry,"n. 竞争, 对抗
"
senator,"n. 参议员, (某些大学的)理事
"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
spinning,"n. 纺纱
"
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝
vt. 喷雾, 扫射, 喷射
vi. 喷, 溅开"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
squirrel,"n. 松鼠, 松鼠毛皮
vt. 贮藏"
sumptuous,"a. 奢侈的, 华丽的"
tremendous,"a. 巨大的, 非常的, 可怕的"
trench,"n. 渠, 沟渠, 战壕
vt. 在...开沟, 挖战壕于, 用战壕围住
vi. 挖战壕, 开沟"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
tropical,"a. 热带的, 热情的
"
ultimatum,"n. 最后通牒, 基本原理
"
utter,"a. 全然的, 绝对的, 完全的
vt. 发出声音, 做声, 发表, 发射, 流通"
vacate,"vt.vi. 使空出, 搬出, 腾出, 不再使用/居住, 解除(职位), 撤离(阵地), 辞职, 退位
vt. 取消, 使作废"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
adjoining,"a. 邻接的, 毗连的
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
affirm,"v. 断言, 确认"
alignment,"n. 队列, 结盟, 校正
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
Babylonian,"a. 巴比伦的, 罪恶的"
basement,"n. 地下室, 墙脚
"
bonanza,"n. 富矿带, 带来好运的事物, 幸运"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
chant,"n. 圣歌, 赞美诗
v. 吟唱, 诵扬"
charcoal,"n. 木炭
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
continuation,"n. 继续, 续集, 补编
"
corporate,"a. 社团的, 合伙的, 公司的
"
deny,"v. 否认, 拒绝"
diffusion,"n. 散播, 传播, 蔓延
"
distasteful,"a. 味道差的, 使人不愉快的, 讨厌的"
district,"n. 区域, 地方
"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
enterprising,"a. 有魄力的, 有进取心的, 有事业心的"
ephemeral,"a. 朝生暮死的, 短命的, 短暂的
"
eruption,"n. 爆发, 喷出物, 出疹
"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
familiar,"a. 熟悉的, 常见的, 亲密的
n. 熟友, 常客"
far-fetched,"adj. 强词夺理的
"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
flux,"n. 流出, 涨潮, 变迁
vi. 熔化, 流出
vt. 使熔融
"
fort,"n. 堡垒, 要塞, 易货站
vt. 设要塞保卫
vi. 设要塞"
giraffe,"n. 长颈鹿, 鹿豹座"
grazing,"n. 放牧, 牧草, 草场, 放牧法"
harmonic,"a. 和谐的, 音乐般的, 和声的
n. 泛音, 谐波"
ideomotor,a. [心]观念运动的
idyllic,"a. 田园诗的, 牧歌的, 悠闲的"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
"
instinct,"n. 本能, 直觉
a. 充满着的"
introduction,"n. 介绍, 传入, 采用, 初步"
ironic,"a. 冷嘲的, 挖苦的, 反话的, 讽刺的, 令人啼笑皆非的, 出乎意料的"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
lyric,"n. 抒情诗, 歌词
a. 抒情的"
