identical,"a. 同一的, 恒等的, 完全相同的
"
fissure,"n. 裂缝, 裂沟
v. (使)裂开, (使)分裂"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
befit,"vt. 适合于, 适宜于"
fitful,"a. 断断续续的, 一阵阵的, 间歇的"
fitting,"a. 适宜的
n. 试穿, 试衣, 装配, 装置"
misfit,"n. 不适合, 不适合的东西, 不适应环境的人
vt. (衣着)对...不合身
vi. 不适合"
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
fixed,"a. 固定的, 不变的
"
fixer,"n. 定色剂, 定影剂, 毒贩子
"
fixture,"n. 固定(状态), 固定物, 设备
"
affix,"vt. 使附于, 署名, 粘贴, 盖印于
n. 附加物, 词缀"
prefix,"前缀, 称谓
"
suffix,"n. 后缀, 下标
vt. 添后缀
"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
flammable,"a. 易燃的, 可燃性的
"
flamboyant,"a. 火焰似的, 辉耀的, 华丽的"
flavor,"n. 滋味, 调味品
vt. 加味于"
flavour,"n. 味, 调味香料, 滋味, 香味, 气味, 风味, 情味, 情趣, 风韵
vt. 给...调味, 给...增添风趣, 加香料, 加味于"
flavoring,n. 调味料
flavouring,n. 调味料
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
flawless,"a. 无瑕疵的, 无缺点的
"
flax,"n. 亚麻, 麻布, 亚麻织品
"
flaxen,"a. 亚麻的, 亚麻色的, 淡黄色的"
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
flippant,"a. 轻率的, 没礼貌的, 嘴碎的"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
flighty,"a. 轻浮的, 轻狂的, 心情浮动的"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
afloat,"a. 飘浮着的, 在海上的, 浸满水的, 在进行中的
adv. 飘浮着, 在海上, 浸满水, 在进行中"
flop,"n. 砰然落下, 拍击声, 失败
vi. 笨重地摔, 猛落
vt. 笨拙地抛下
adv. 噗通"
floppy,"a. 叭嗒叭嗒响的, 松软的"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
flier,"n. 飞行者, 快船, 快车
"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
folder,"n. 文件夹, 折纸机, 折叠式书本, 卷宗
"
enfold,"vt. 包进, 拥抱"
manifold,"n. 复印本, 多种
a. 多种的, 有许多部分的, 多方面的
vt. 复写, 使多样化, 增多"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
fond,"a. 喜欢的, 宠爱的, 温柔的"
fondle,"vt. 爱, 爱抚, 溺爱
vi. 爱抚"
fool,"n. 愚人, 受骗者, 奶油拌水果
vt. 愚弄, 欺骗, 浪费
vi. 干傻事, 开玩笑, 游荡
a. 傻的"
folly,"n. 愚蠢, 荒唐事, 讽刺剧"
foolproof,"a. 十分简单的, 十分安全的"
forbid,"vt. 禁止, 不准, 妨碍
"
forbidden,"a. 被禁止的, 严禁的
forbid的过去分词"
forbidding,"a. 严峻的, 可怕的, 令人难亲近的"
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
forgery,"n. 伪造, 伪造罪, 伪造物
"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
fragrance,"n. 芬芳, 香味"
fraud,"n. 欺骗, 欺诈, 诡计, 骗子
"
defraud,"vt. 欺骗
"
fraudulent,"a. 欺诈的, 不正的, 不诚实的
"
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
freebie,n. 免费的东西；免费赠品（尤指戏院赠券）
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
freighter,"n. 租船人, 承运人, 托运人, 货船, 运输机
"
frenzy,"n. 疯狂, 狂暴, 狂怒
"
frenzied,"a. 狂热的, 狂乱的, 激怒的"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
frequency,"n. 频率, 频数
"
frequently,"adv. 频繁, 经常地"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
afresh,adv. 重新
frivolity,"n. 轻薄, 轻率, 不足取的事"
frivolous,"a. 轻佻的, 妄动的, 琐碎的
"
front,"n. 前面, 开头, 前线, 阵线, 态度
vt. 面对, 朝向, 对抗
vi. 朝向"
frontage,"n. 房子的正面, 前方, 临街地"
frontal,"a. 前面的, 正面的, 额的
n. 额骨, 祭坛(前面的)帏帘, (建筑物的)正面"
frontier,"n. 边界, 边境
"
affront,"n. 公开侮辱, 轻蔑
vt. 公开侮辱, 冒犯, 面对"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
confrontation,n. 对抗；对质；面对
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
frosting,"n. 霜状白糖, 无光泽面, 装饰玻璃粉
"
frosty,"a. 霜冻的, 严寒的, 冷淡的"
defrost,"vt. 除霜
vi. 解冻"
fruit,"n. 水果, 果类, 结果
"
fruiterer,"n. 水果商, 运水果船"
fruition,"n. 成就, 实现, 结果实"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
frustration,"n. 挫折, 顿挫
"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
malfunction,"n. 故障, 失灵, 疾病
vi. 发生故障, 不起作用
"
perfunctory,"a. 敷衍的, 随随便便的, 得过且过的"
defunct,"a. 死的, 不能使用的
n. 死者"
furnish,"vt. 供给, 提供, 装设
"
furnishings,n. 家具；供应；穿戴用品（furnishing的复数）
fur,"n. 毛皮
vt. 以毛皮制作, 使生苔, 使生水垢
vi. 生苔, 积水垢"
furrier,"n. 毛皮商, 毛皮衣制作工"
future,"n. 未来, 将来
a. 将来的, 未来的"
futuristic,a. 未来派的
fuzz,"n. 细毛, 绒毛, 警察
vi. 作绒毛状飞散, 变成绒毛状
vt. 起毛, 使模糊"
fuzzy,"a. 有微毛的, 模糊的
"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
"
regain,"vt. 取回, 恢复, 重回, 复得
"
gay,"a. 欢快的, 艳丽的, 快乐的, 放荡的"
gaily,"adv. 华丽地, 欢乐地"
gaiety,"n. 愉快, 快活, 高兴"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
generalization,"n. 一般化, 普遍化, 概括
"
germ,"n. 细菌, 种子, 生殖细胞, 根源
"
germinate,"vi. 发芽, 萌芽, 开始发育
vt. 使发芽, 使发育"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
gigantic,"a. 巨人般的, 巨大的"
gibber,"vi. 急促而不清楚地说话, 傻乎乎地说话
"
gibberish,"n. 快而不清的语, 胡扯"
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
gifted,a. 有天才的
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamorous,"a. 富有魅力的, 迷人的"
gloom,"n. 忧郁, 暗处, 幽暗
vi. 变忧沉, 变黑暗
vt. 使忧郁, 使黑暗"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
god,"n. 上帝, 神像, 偶像
vt. 使神化"
ungodly,"a. 不敬畏神的, 不可思议的, 邪恶的
adv. 可怕地, 令人憎厌地"
gorge,"n. 峡谷, 凹槽, 塞饱, 咽喉
vi. 狼吞虎咽
vt. 塞饱, 狼吞虎咽地吃"
gorgeous,"a. 华丽的, 灿烂的"
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
degrade,"v. (使)降级, (使)退化"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
grinder,"n. 推磨的人, 研磨者
"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
engross,"vt. 用大字体书写, 独占(市场), 使全神贯注
"
grudge,"n. 怨恨, 恶意
vt. 怀恨, 嫉妒, 吝惜"
begrudge,"vt. 嫉妒, 羡慕, 勉强允给, 吝惜"
guilt,"n. 罪行, 内疚
"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
gulf,"n. 海湾, 深渊, 漩涡, 隔阂
vt. 吞没"
engulf,"vt. 卷入, 吸进, 吞没, 使全神贯注"
gull,"n. 鸥, 易受骗之人, 呆子
vt. 欺诈, 骗"
gullible,"a. 易受骗的
"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
habitué,无
hack,"n. 劈, 砍, 砍痕, 出租车, 干咳, 晒架, 鹤嘴锄
vt. 劈, 砍, 出租, 用旧
vi. 劈, 砍, 干咳, 驾驶出租车
a. 出租的"
hacker,"[计] 计算机窃贼, 计算机新技术挑战者, 黑客"
hackneyed,"a. 使用过于频繁的, 常见的, 陈腐的"
hacked,生气
hallucinate,vt. 使产生幻觉
hallucination,"n. 幻觉, 幻想
"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
harden,"vt. 使变硬, 使坚强, 使冷酷
vi. 变硬, 变冷酷"
hardness,"n. 坚硬, 困难, 严厉, 勇气
"
hardware,"n. 硬件, 五金器具, 零件
"
hardy,"a. 难的, 艰苦的, 坚硬的, 勇敢的
adv. 努力地, 辛苦地, 坚硬地"
harmony,"n. 协调, 和睦, 调和
"
harmonize,"vi. 协调, 以和声唱
vt. 使一致, 使和谐"
harmonica,"n. 口琴, 玻璃钟琴
"
harmonium,n. 簧风琴
harrow,"n. 哈罗公学, 耙
vt. 耙掘, 伤害, 使苦恼
vi. 被耙松"
harrowing,"a. 痛心的, 悲惨的
"
haste,"n. 匆忙, 急忙"
hasten,"vt. 催促, 加紧
vi. 赶快, 急忙"
hasty,"a. 匆匆的, 轻率的, 性怠的"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
hatchery,n. 孵卵处
hawk,"n. 鹰, 掠夺者, 鹰派成员
vi. 放鹰行猎, 像鹰一般地袭击, 清嗓, 咳嗽
vt. 捕捉, 咳出, 兜售, 叫卖, 散播"
hawker,"n. 饲鹰者, 以鹰行猎者, 叫卖小贩
"
heave,"n. 举, 抛, 起伏, 鼓起
vt. 用力举起, 使举起, 使鼓起
vi. 抛出, 起伏, 喘息, 凸起"
upheaval,"n. 举起, 隆起, 大变动, 剧变"
hedonism,"n. 快乐论, 享乐主义
"
hedonist,"n. 快乐主义者, 享乐主义者"
herbivore,n. 草食动物
herbivorous,"a. 食草的
"
heresy,"n. 异端, 异教
"
heretic,"n. 异教徒, 异端者"
heretical,"a. 异教的, 异端的"
hermit,"n. 隐士, 隐居者"
hermitage,"n. 隐士住处, 茅庐, 冷落僻静的住处, 修道院, 隐士生活"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
honorable,"a. 值得尊敬的, 荣耀的, 高贵的"
honourable,"a. 值得尊敬的, 荣耀的, 高贵的
"
honorary,"a. 荣誉的, 无报酬的, 道义上的
"
dishonor,"n. 不名誉
vt. 玷辱, 使蒙羞"
dishonour,"n. 不名誉, 使人丢脸的人/事, 耻辱, 不光彩
vt. 使丧失名誉, 使受耻辱, 使丢脸, 奸污, 拒收, 无法偿付, 拒付"
dishonorable,"a. 不名誉的, 无耻的, 耻辱的, 不光彩的"
dishonourable,"a. 不名誉的, 无耻的, 耻辱的, 不光彩的"
horizon,"n. 地平线, 眼界, (天)视地平"
horizontal,"n. 水平线, 水平面, 水平位置
a. 水平线的, 平坦的, 横的
n. 水平
"
horn,"n. 角, 角质, 喇叭, 号角
a. 角制的
vt. 用角触, 长角于"
horned,"a. 有角的, 角状的"
horse,"n. 马, 骑兵, 脚架
vi. 骑马, 取笑
vt. 使骑马, 系马于"
horsy,"a. 马的, 爱马的"
horsey,a. 马的；似马的（等于sorsy）
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
housing,"n. 遮盖, 住房供给, 居留(处), 房屋, 装饰
"
rehouse,"vt. 给...安排新房子, 给...安排好房屋"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
hulk,"n. 船体, 笨重的船, 废然大物"
hulking,"a. 笨重的, 粗陋的"
husk,"n. 外壳, 皮, 无价值之物
vt. 剥...的壳, 削皮"
husky,"n. 强壮结实之人, 爱斯基摩人
a. 有壳的, 声音沙哑的, 强壮的"
hypnosis,"n. 催眠状态, 催眠术
"
hypnotic,"a. 催眠的, 在受催眠状态中, 易于催眠的
n. 催眠药, 安眠药, 催眠状态的人"
hypnotism,"n. 催眠术, 催眠状态
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
idealize,"vt. 使理想化
vi. 理想化, 形成思想, 描述理想"
idiom,"n. 习语, 成语, 惯用语法, 方言"
idiomatic,"a. 符合语言习惯的, 惯用的, 有许多习语的"
idiosyncrasy,"n. 气质, 特性, 风格
"
idol,"n. 偶像, 崇拜物, 宠儿, 幻象, 谬论"
idolatry,"n. 偶像崇拜, 邪神崇拜, 盲目崇拜"
idolize,"vt. 把...当偶像崇拜, 极端崇拜, 醉心于
vi. 崇拜偶像"
ignite,"vt. 点燃, 使灼热, 使兴奋"
ignition,"n. 点火, 点燃
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
illustration,"n. 例证, 插图
"
illustrative,"a. 说明的, 解说的, 作例证的"
imbecile,"a. 低能的, 愚钝的, 虚弱的
n. 低能者, 痴呆, 蠢人"
imbecility,"n. 低能, 愚钝, 愚蠢言行
"
impatience,"n. 性急, 难耐, 焦急, 急躁"
impatient,"a. 不耐烦的, 着急的, 急切的"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
imperialism,"n. 帝国主义, 帝制
"
imperialist,"n. 帝国主义者, 皇帝统治的拥护者, 皇帝派的人
a. 帝国主义的"
imperious,"a. 专横的, 傲慢的, 迫切的
"
incubate,"vt. 孵, 培养, 使发展
vi. 孵蛋, 潜伏, 筑巢, 孵化, 酝酿
n. 孵育物"
incubation,"n. 抱蛋, 孵化, 酝酿
"
incubator,"n. 孵卵器, 细菌培养器, 早产儿保育器
"
incumbent,"a. 现任的, 依靠的, 负有义务的
n. 领圣俸者, 在职者"
succumb,"vi. 屈从, 屈服, 死"
indemnity,"n. 赔偿, 保障, 补偿, 赦免, 保护
"
indemnify,"vt. 赔偿, 补偿, 保护, 保障
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
individualism,"n. 个人主义, 个人特征
"
individuality,"n. 个性, 个人, 特征"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
indulgence,"n. 沉溺, 放纵, 嗜好
"
indulgent,"a. 纵容的, 任性的, 宽容的"
inert,"a. 惰性的, 迟钝的, 无活力的, 呆滞的
"
inertia,"n. 惯性, 惰性, 迟钝
"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
infancy,"n. 幼年, 初期, 幼儿期
"
infatuated,"a. 迷恋着的, 昏头昏脑的"
infatuation,"n. 迷惑, 迷恋, 醉心"
infirm,"a. 弱的, 虚弱的, 柔弱的
"
infirmary,"n. 医院, 养老院
"
infirmity,"n. 虚弱, 病身, 疾病
"
inflame,"vt. 激怒, 点火, 激起
vi. 着火, 激动, 发炎"
inflamed,"a. 红肿的, 发炎的"
inflammable,"a. 易燃的, 易怒的
"
inflammation,"n. 怒火, 发火, 燃烧, 发炎
"
inflammatory,"a. 激动的, 煽动的, 炎症性的
"
insomnia,"n. 失眠症
"
insomniac,"n. 失眠症患者
"
instrument,"n. 工具, 手段, 仪器
"
instrumental,"a. 仪器的, 器具的, 可作为手段的
"
intestine,"a. 内部的, 国内的
n. 肠"
intestinal,"a. 肠的, 肠内的
"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
interference,"n. 冲突, 干涉
"
kidnap,"vt. 绑架, 诱拐, 拐骗
"
kidnapper,"n. 拐子, 绑架者
"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
luxurious,"a. 豪华的, 奢侈的, 放纵的"
luxuriant,"a. 繁茂的, 丰富的, 肥沃的, 华丽的
"
deluxe,"a. 高级的, 豪华的
adv. 豪华地"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
interpretation,"n. 解释, 演出, 翻译
"
interpreter,"n. 直译程序, 解释者, 口译者, 注释器
"
intoxicate,"vt. 使陶醉, 使喝醉"
intoxicant,"n. 酒类饮料, 致醉药物
a. 使醉的, 令人陶醉的"
intrude,"vi. 闯入, 侵入
vt. 强加于"
intruder,"n. 侵入者, 干扰者, 妨碍者
"
intrusive,"a. 打扰的, 插入的
"
iodide,"n. 碘化物
"
iodine,"n. 碘, 碘酒
"
irk,"vt. 使厌倦, 使苦恼"
irksome,"a. 厌恶的, 讨厌的, 令人厌烦的"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
ironic,"a. 冷嘲的, 挖苦的, 反话的, 讽刺的, 令人啼笑皆非的, 出乎意料的"
ironical,"a. 讽刺的, 用反语的"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
issuance,"n. 发行, 发布
"
item,"n. 项目, 条款, 一则, 项
"
itemize,"vt. 分条详述, 详细列举
"
itinerant,"a. 巡回的
n. 巡回者"
itinerary,"n. 旅程, 旅行指南, 游记
a. 巡回的, 旅程的"
joy,"n. 欢喜, 乐事, 高兴
vt. 使快乐, 令人高兴
vi. 欢喜"
rejoice,"vt. 使欢喜
vi. 欣喜, 高兴, 庆祝"
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
adjustment,"n. 调整, 调节, 校正
"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
rejuvenate,"vt. 使年轻, 使复原, 使恢复精神
vi. 返老还童, 复原"
kaleidoscope,n. 万花筒
stethoscope,"n. 听诊器
vt. 用听诊器诊断"
kin,"n. 亲戚, 同族, 血缘关系, 家族
a. 有亲属关系的, 性质类似的, 同类的"
kindred,"n. 家族, 相似, 亲戚关系
a. 同族的, 同类的, 血缘的"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
launderette,n. 自助洗衣店
legible,"a. 清晰的, 易读的"
illegible,"a. 难辨认的, 字迹模糊的"
lenient,"a. 宽大的, 温和的, 慈悲为怀的
"
leniency,"n. 宽大, 温和, 慈悲为怀
"
lie,"n. 谎言, 假象, 位置
vi. 躺着, 说谎, 位于, 展现, 存在, 停泊
vt. 谎骗"
belie,"vt. 掩饰, 与...不符, 使失望"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
unlisted,"a. 未编入册的, (证券等)未上市的"
load,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载
vt. 装载, 装填, 使担负
vi. 装货, 上客, 装料
"
unload,"vi. 卸货
vt. 从...卸下, 摆脱...之负担, 倾销, 卸(货)
"
lade,"vt. 装满, 装载
vi. 装货"
ladle,"n. 勺子, 长柄勺
vt. 以勺舀取, 以勺掬, 不分对象予以赠送"
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
interlock,"v. (使)连结, (使)连锁
n. 连锁, 连结
"
locker,"n. 抽屉, 小柜, 上锁人
"
unlock,"vt. 开...的锁, 开启, 表露, 放出
vi. 被开启, 揭开, 解放
"
lodge,"n. 小屋, 门房, 支部, 旅舍, 分会
vi. 临时住宿, 倒伏, 寄宿, 投宿
vt. 安顿, 容纳, 提出, 把...射入, 存放"
dislodge,"vt. 逐出, 使移动, 驱逐
vi. 离开原位"
louse,"n. 虱子, 寄生虫
"
lousy,"a. 污秽的, 恶心的, 生虱的"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
disloyal,"a. 不实的, 不义的, 不忠的"
loyalty,"n. 忠贞, 忠诚, 忠实
"
lubricate,"vt. 使润滑, 涂油
vi. 润滑"
lubricant,"a. 润滑的
n. 润滑物, 润滑油, 润滑剂"
lull,"n. 暂停, 间歇, 稍息, 使人安静的东西
vt. 使平静, 哄骗, 使安静
vi. 变平静"
lullaby,"n. 摇篮曲, 催眠曲, 轻柔的音乐"
lunatic,"n. 疯人, 癫狂者, 愚蠢的人
a. 疯癫的, 愚蠢的, 丧心病狂的, 精神错乱的"
lunacy,"n. 精神失常, 精神病, 疯狂愚蠢的行为
"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
lyric,"n. 抒情诗, 歌词
a. 抒情的"
lyrical,"a. 抒情诗调的, 有抒情味的, 感情丰富的"
mad,"a. 疯狂的, 发疯的, 生气的, 愚蠢的, 狂欢的
n. 狂怒"
madden,"vt. 使发狂, 激怒
vi. 发狂, 发怒"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
electromagnet,"n. 电磁石
"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
magnetism,"n. 磁性, 吸引力, 磁学, 催眠术
"
mania,"n. 狂躁, 热衷, 狂热
"
maniac,"a. 发狂的, 癫狂的, 疯狂的
n. 狂人, 疯子"
manic,"a. 躁狂的
n. 躁狂者"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
marketing,"n. 行销, 买卖
"
hypermarket,"n. 大规模超级市场
"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
marvelous,"a. 令人惊异的, 了不起的, 不平常的"
marvellous,"a. 奇异的, 神奇的, 奇迹般的, 惊人的, 不可思议的, 绝妙的, 妙极的"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
masked,"a. 戴假面具的, 隐现的, 伪装的
"
masquerade,"n. 化装舞会, 伪装
vi. 参加化装舞会, 伪装, 假装"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
