international,"a. 国际的
n. 国别设定
"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
swarm,"n. 群, 大群, 蜂群, 分蜂群
vi. 分群, 群集, 聚集一块, 云集, 攀
vt. 挤满, 爬, 攀"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
area,"n. 区域, 面积, 范围, 空地
"
inhale,"vt. 吸入
vi. 吸气"
toil,"n. 辛苦, 苦工, 网, 罗网, 圈套
vi. 苦干, 跋涉"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
variety,"n. 多样, 种类, 变种, 杂耍
"
invariably,"adv. 不变化地, 恒定地, 始终如一地"
crow,"n. 啼叫, 乌鸦, 鸡鸣, 撬棍
vi. 啼叫, 报晓"
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
crown,"n. 王冠, 王权, 顶点
vt. 使成王, 加冕, 居...之顶"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
crowdfund,[网络] 人群基金
lubricate,"vt. 使润滑, 涂油
vi. 润滑"
lubricant,"a. 润滑的
n. 润滑物, 润滑油, 润滑剂"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
spiral,"n. 螺旋形之物, 螺线
a. 螺旋形的, 盘旋的
vi. 螺旋形下降, 螺旋形上升, 螺旋形行进
vt. 使螺旋形行进"
spine,"n. 背骨, 脊柱, 尖刺
"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
atmosphere,"n. 大气, 空气, 气氛
"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
crystallize,"vt. 使结晶, 使具体化
vi. 结晶, 具体化"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
devastate,"vt. 毁坏
"
scream,"n. 尖叫声
vi. 尖叫, 大笑, 尖啸, 令人震惊
vt. 尖叫着说, 大叫大嚷着要求"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
exclaim,"v. 大叫, 呼喊, 大声叫"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
rebound,"vi. 弹回, 返回, 产生事与愿违的结果
vt. 使弹回, 使返回
n. 反弹, 返回, 篮板球, 振作
rebind的过去式和过去分词"
pore,"n. 毛孔, 小孔, 气孔
vi. 专心阅读, 细想, 钻研, 沉思, 注视
vt. 使注视得"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
cucumber,"n. 黄瓜
"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
urgent,"a. 紧急的, 急迫的, 催逼的
"
urgency,"n. 紧急, 催促
"
awkward,"a. 笨拙的, 棘手的"
cabbage,"n. 卷心菜
"
axis,"n. 轴
"
cassette,"n. 盒式磁带, 珠宝箱, 暗盒
"
despise,vt. 轻视
coast,"n. 海岸, 滑坡
v. 沿海岸而行"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
reengineer,"vt.再设计,重新建造, 再设法处理"
district,"n. 区域, 地方
"
versus,"prep. 对...
"
dozen,"n. 打, 十二个
a. 一打的"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
fantasy,"n. 幻想, 想象的产物
"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
department,"n. 部门, 系, 机关
"
departure,"n. 离开, 出发, 违背, 偏离
"
feeble,"a. 微弱的, 衰弱的, 无效的
"
hysterical,"a. 歇斯底里的, 异常兴奋的
"
flavor,"n. 滋味, 调味品
vt. 加味于"
savor,"n. 滋味, 气味, 食欲
vi. 有...的滋味
vt. 加调味品于, 使有风味, 尝到"
insure,"vt. 保险, 确保
vi. 投保"
insurance,"n. 保险, 保险业, 保险费
"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
liability,"n. 责任, 债务, 倾向
"
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
recipe,"n. 食谱, 处方, 秘诀
"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
vicinity,"n. 附近, 邻近, 附近地区, 近处
"
geometry,"n. 几何学
"
mould,"n. 模子, 模制品, 松软沃土, 霉
vt. 形成, 浇铸, 用泥土覆盖
vi. 发霉"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
hammer,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
"
slit,"n. 裂缝, 投币口, 狭长裂口
vt. 切开, 扯裂, 使有狭缝
vi. 纵切, 纵裂"
hobby,"n. 嗜好, 癖好, 爱好"
tow,"n. 拖, 拖绳, 拖轮
vt. 拖, 拉, 牵引"
biscuit,"n. 饼干
"
toast,"n. 吐司, 烤面包, 干杯
vt. 敬酒, 烤, 使暖和
vi. 烤, 烘"
roast,"n. 烤肉, 烘烤, 嘲笑
a. 烘烤的, 烤过的
vt. 烤, 炙, 烘焙, 嘲笑
vi. 烤, 炙, 烘焙"
media,"n. 媒体
"
immediate,"a. 立即的, 直接的, 接近的
"
intermedia,媒介物
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
instead,"adv. 作为替代, 反而"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
item,"n. 项目, 条款, 一则, 项
"
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
"
scenery,"n. 风景, 景色, 舞台布景"
legislate,"vi. 制定法律
vt. 用立法规定"
legislation,"n. 立法, 法律
"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
liquor,"n. 酒, 液体, 汁, 溶液
vt. 浸水
vi. 喝酒"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
sham,"n. 假, 赝品, 骗子, 哄骗
a. 假的, 伪造的
vt. 假装, 冒充
vi. 装假"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
solemn,"a. 严肃的, 郑重的, 庄严的"
luggage,"n. 行李, 皮箱"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
speciality,"n. 专长, 擅长, 特种技能, 详细说明, 特性, 特产, 专业
"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
luxurious,"a. 豪华的, 奢侈的, 放纵的"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
immigrate,"vt. 使移居入境
vi. 移入"
immigrant,"n. 移民
a. 移入的, 移民的"
emigrate,"v. (使)移居, (使)移民"
emigrant,"n. 移民, 侨民
a. 移民的, 移居的"
migrate,"vi. 移动, 移往, 随季节而移居
"
migrant,"n. 候鸟, 移居者
"
visa,"n. 签证
vt. 签发"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
physician,"n. 医师, 内科医师, 解除痛苦者
"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
theme,"n. 主题, 话题, 题目"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
suburb,"n. 市郊住宅区, 郊区, 边缘"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
valve,"n. 活瓣, 阀, 活门
v. 装阀, 用阀调节"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
despatch,"v. 派遣
n. 派遣"
whistle,"n. 口哨, 汽笛, 啸啸声, 口哨声
vi. 吹口哨, 鸣汽笛, 发嘘嘘声
vt. 用口哨或吹哨传意, 用口哨演奏"
ashore,"adv. 向岸, 在岸上"
yard,"n. 码, 庭院, 工场
"
bacon,"n. 熏猪肉
"
zinc,"n. 锌
vt. 镀锌于"
binding,"n. 装订
"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
ban,"n. 禁令
vt. 禁止, 取缔"
banned book,无
censor,"n. 检查员
vt. 检查, 审查, 删改"
census,"n. 户口普查
vt. 实施统计调查"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
cate,"n. 佳肴, 美食"
cater,"v. 提供饮食及服务, 投合, 迎合"
saint,"n. 圣徒, 圣人
a. 神圣的
"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
numb,"a. 麻木的, 失去知觉的
vt. 使麻木, 使昏迷, 使失去知觉"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
lotto,n. 抽数码游戏
lottery,"n. 奖券, 彩票, 运气
"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
slaughter,"n. 残杀, 屠杀, 杀戮
vt. 残杀, 屠杀, 亏本出售"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
analogy,"n. 相似, 类似
"
analogue,"n. 类似物, 相似情况
"
Nutrilite,n. 营养物
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
nutrition,"n. 营养, 营养学
"
nut,"n. 坚果, 核心, 螺帽
"
Titanic,"a. 四价钛的
"
gigantic,"a. 巨人般的, 巨大的"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
rigor,"n. 严格, 严厉, 苛刻, 严酷, 严密, 精确
"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
courteous,"a. 彬彬有礼, 谦恭的"
courtesy,"n. 礼貌, 谦恭, 好意
"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
courtyard,"n. 庭院, 天井"
Snickers,"n. =sni^^er( snicker的名词复数 )
v. =sni^^er( snicker的第三人称单数 )"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
secular,"n. 修道院外的教士
a. 世俗的, 现世的, 长期的"
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
quirk,"n. 古怪举动, 俏皮话, 急转"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
predator,"n. 食肉动物, 掠夺者
"
pray,"v. 祈祷, 恳求, 请"
mystery,"n. 秘密, 神秘, 奥秘"
mysterious,"a. 神秘的, 难解的, 不可思议的"
myth,"n. 神话, 虚构的事, 虚构的人"
truth,"n. 事实, 实情
"
pence,"pl. (非正式)copper便士, (美)分, 分币"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
compensate,"v. 偿还, 补偿, 付报酬"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
dispensable,"a. 不是必要的, 可有可无的"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
brood,"n. 一窝, 一伙
vt. 孵, 沉思"
rely,"vi. 信赖, 依赖, 信任"
religion,"n. 宗教, 信仰
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
reliable,"a. 可靠的, 可信赖的
"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
congress,"n. 国会, 会议, 讨论会
"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
consist,"vi. 组成, 存在于, 一致"
persist,"vi. 坚持, 固执, 持续, 坚称
"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
insist,"v. 坚持, 坚决主张, 强调"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
attractive,"a. 吸引人的, 有魅力的
"
distract,"vt. 转移, 分心, 使发狂"
sophomore,"n. (大学)二年级生
a. 二年级学生的, 二年级的"
sophist,"n. 诡辩者, 诡辨家, 学者"
sophisticated,"a. 复杂的, 久经世故的
"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
synchronize,"vt. 使同步, 使合拍
vi. 同时发生
"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
chronological,"a. 年代学的, 按时间顺序的, 按照年月顺序的
"
fess,vt. 供认；坦白
confess,"v. 承认, 坦白, 忏悔, 供认"
professor,n. 教授
profession,"n. 职业, 表白, 声明
"
prophet,"n. 预言者, 先知, 提倡者"
prophecy,"n. 预言, 预言能力"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
oppress,"vt. 压迫, 压抑, 使烦恼"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
expression,"n. 表达, 表现, 词语, 措辞
"
repression,"n. 抑制, 压抑, 制止
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
impressive,"a. 给人深刻印象的, 威严的"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
composite,"a. 合成的, 混合成的, 菊科的
n. 合成物, 复合材料, 菊科"
composition,"n. 作文, 创作, 组成
"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
"
disposition,"n. 性情, 处置, 处理, 布置
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
exposure,"n. 暴露, 揭发, 揭露
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
concession,"n. 特许, 让步, 认可
"
concede,"vt. 承认, 退让
vi. 让步"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
exceeding,"a. 超越的, 非常的, 极度的"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
excessive,"a. 过度的, 过多的, 极端的
"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
formation,"n. 形成, 构造, 编队
"
conscience,"n. 良心
"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
predict,"v. 预知, 预言, 预报"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
dictation,"n. 听写, 口述, 命令"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
emission,"n. 发射, 射出, 发行
"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
erupt,"vi. 爆发
vt. 喷出"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
corruption,"n. 腐败, 堕落, 贪污
"
electric,"a. 电的, 导电的, 电动的
"
electron,"n. 电子
"
electronic,"a. 电子的
"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
electrician,"n. 电学家, 电气技师, 电工
"
diverse,"a. 不同的, 变化多的"
diversity,"n. 差异, 多样性
"
diversion,"n. 转移
"
divert,"vt. 转移, 使欢娱
vi. 转移"
inverse,"a. 倒转的, 相反的
n. 反向, 反面
"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
version,"n. 一种描述, 版本, 译文
"
versatile,"a. 多才多艺的, 万用的, 万向的"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
conversion,"n. 转变, 转换, 改变宗教信仰, 换位法
"
conversely,"adv. 相反, 逆, 颠倒, 反题, 反"
aspect,"n. 外观, 方面, 面貌, 方向
"
expect,"vt. 预期, 盼望, 期待"
conspicuous,"a. 显著的, 显眼的, 出众的"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
prospective,"a. 预期的, 将来的
"
specter,"n. 幽灵, 妖怪, 凶兆"
spectrum,"n. 光谱, 范围, 系列
"
birth certificate,[医] 出生证
a noteworthy quirk,无
more pronounced,[网络] 效果就更加显著；效果就更加显着；更高
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
astrological signs,[网络] 十个星座；占星迹象；星象符号
oxygen capacity,[医] 氧容量
to conduct research,无
switch to,"切换到
"
be swamped by,无
deliberate practice,无
expert performers,无
a rather startling assertion,无
newspaper supplement,无
have eluded some of the best poets,无
defining term,无
populate bookstores and the World Wide Web,无
chronological age,[医] 实足年龄
components also critical to,无
toil through SAT,无
count on,"依靠, 指望"
financially secure,"收入稳定
财务保障
经济安全"
a pink slip,无
all stripes,无
two-paycheck status,无
side effect,"副作用
"
budgeted to the limits,无
got laid off,无
weather bad time,无
stock market fluctuation,无
harsh reality,[网络] 严酷的现实；残酷的现实；严峻的现实
campaigned to,无
borne by families,无
to exercise more financial responsibility,无
financial fallout,无
executive suite, [电影]纵横天下
sort out,"na. 清理
"
heads rolling,无
put right,"使恢复正常, 纠正错误"
peer into,凝视…;窥视…
the dimmest executive,无
the current state of affairs,无
when data went astray,无
some spheres of modern life,无
trigger chemicals,无
stressed-out," 有压力的, 紧张的"
worn out, 磨穿; 疲乏
one-shot deals,无
lived from paycheck to paycheck,无
restrict access to,无
far-reaching consequences,无
makes heavy reading for,无
scientific endeavor,无
ready access,无
institutional repositories,无
are hybrids of these,无
have changed dramatically,无
bigger,a. 更大的（big的比较级）
to avoid substantial height,无
strain imposed by oversize limbs,无
from the bottom up,从下到上
the fragile nature,无
to part with,无
to party with,无
auto-pilot,自动舵
negative connotation,无
it seems antithetical,无
to approach challenges,无
at puberty,无
it fosters commonness,无
shell out,"交付, 支付"
over-the-counter, （买药）不用处方
biological relatives,无
the latest rage,无
being hawked by people,无
a single lineage,无
lump together information,无
to improve economic performance,无
pre-bubble peak,无
New England,新英格兰
scenes of important episodes,无
civility and virtuosity,无
impressive education,无
an atmosphere of intellectual earnestness,无
