arroyo,"n. 干涸沟壑, 旱谷, 小河"
advert,"vi. 提出看法, 引起注意, 留意
n. 广告"
bewitching,"a. 迷人的, 令人销魂的"
cynosure,"n. 小熊座, 北极星, 众目之的"
desirable,"a. 令人想望的, 可取的"
enchant,"vt. 施魔法, 使入迷"
entice,"vt. 诱骗, 引诱, 怂恿"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
entrancing,"a. 使人神魂颠倒的, 使人入神的, 令人欣喜的"
fetching,"a. 动人的, 引人的, 迷人的"
gripping,"a. 抓的, 吸引人的, 扣人心弦的, 夹的"
heed,"n. 注意, 留心
v. 注意, 留心"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
infatuated,"a. 迷恋着的, 昏头昏脑的"
liaison,n. 联络
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
pall,"n. 棺罩, 柩衣, 遮盖物
vi. 失去吸引力, 乏味
vt. 覆盖, 使笼罩阴影, 使乏味"
ravishing,a. 引人入胜的
rivet,"n. 铆钉
vt. 用铆钉固定, 敲进去, 注目, 吸引住"
riveting,"a. 非常有趣的, 引人注目的
"
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
unprepossessing,"a. 不讨人喜欢的, 不吸引人的"
inviting,"a. 引人动心的, 有魅力的
"
tantalizing,"a. 逗引性的, 干着急的"
inducement,"n. 诱因, 动机, 吸引力, 刺激物
"
tantalize,"vt. 逗弄, 使干着急"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
confide,"vt. 吐露, 委托
vi. 信赖"
convince,"vt. 说服, 使相信
"
credence,"n. 信任, 祭器台, 供桌, 凭证
"
credible,"a. 可信的, 可靠的
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
credo,n. 信条
credulous,"a. 轻信的, 易受骗的"
doctrine,"n. 教条, 学说
"
dogma,n. 教条
fabulous,"a. 传说的, 寓言般的, 难以置信的"
implausible,"a. 难以置信的, 不象真实的"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
tenet,"n. 信条, 教义, 宗旨, 原则"
trustworthy,"a. 可信赖的
"
impossibly,"adv. 不可能地, 难以置信地"
incredible,a. 难以置信的
gyrate,"a. 旋涡状的
vi. 旋转, 不停地转动"
pivot,"n. 枢轴, 支点, 旋转运动, 中枢, 关键人物
a. 枢轴的, (如)在枢轴上转动的
vi. 在枢轴上转动, 随着转移
vt. 装枢轴于, 以...为中心旋转
"
reel,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚
vt. 卷...于轴上, 绕, 使旋转
vi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩
"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
slue,"v. (使)旋转
n. 旋转"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
swirl,"n. 漩涡, 涡动
vt. 使成漩涡
vi. 打漩, 盘绕, 眩晕"
burrow,"n. 洞穴, 藏身处
vi. 掘洞穴, 躲藏
vt. 掘, 打洞"
elicit,"vt. 引出, 推导出, 引起"
exhume,"vt. 掘出, 发掘"
grope,"v. 摸索
n. 摸索"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
trawl,"n. 拖网
v. 用拖网捕鱼"
oppress,"vt. 压迫, 压抑, 使烦恼"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
"
quash,"vt. 撤销, 平息, 镇压
"
quell,"vt. 压制, 平息, 减轻"
repressed,"a. 被镇压的, 受约束的, 被抑制的"
scotch,"n. 苏格兰人, 苏格兰语, 刻痕
a. 苏格兰人的, 苏格兰语的
vt. 刻痕于, 伤害, 镇压, 妨碍"
squelch,"n. 嘎吱声, 压碎的一堆, 使对手哑口无言的话
vt. 压碎, 镇压, 使咯吱咯吱响
vi. 咯吱咯吱响, 涉水而过
"
stanch,"vt. 使止血, 止住, 止血
a. 坚固的, 防水的, 忠实的"
subjugate,"vt. 征服, 使服从, 抑制, 克制"
vanquish,"vt. 打败, 征服, 克服
"
victimize,"vt. 使牺牲, 使受害
"
abhor,"vt. 憎恶, 痛恨, 回避, 拒绝"
abominate,"vt. 厌恶, 憎恶"
blasé,无
disagreeable,"a. 令人不快的, 厌恶的, 不合意的"
exceptionable,"a. 可反对的, 可抗议的"
loathe,"vt. 厌恶, 憎恶"
obnoxious,"a. 可憎的, 使人不愉快的, 令人讨厌的"
odious,"a. 可憎的, 可厌的, 丑恶的"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
rebarbative,"a. 厌烦的, 令人讨厌的, 难看的"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
repellent,"a. 抵抗的, 排斥的, 令人讨厌的, 防水的
n. 防水布, 防护剂"
repugnant,"a. 讨厌的, 不愉快的, 厌恶的, 不一致的, 矛盾的, 反对的
"
sated,a. <正>厌腻的
undesirable,"a. 不受欢迎的, 不合乎社会道德标准的
"
scandalize,"vt. 使生反感, 使震惊, 诽谤"
unsavory,"a. 没有味道的, 没有香味的, 难吃的, 难闻的, 令人不快的, 不可接受的"
loathsome,"a. 讨厌的, 可恶的, 令人憎恶的"
antagonism,"n. 对立, 敌对, 敌意
"
antipathy,"n. 厌恶, 反感
"
disinclination,"n. 不愿, 不感兴趣, 厌恶"
desideratum,"n. 所愿望之物, 迫切需要之物"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
prerequisite,"a. 先决条件的, 必要的
n. 先决条件, 必备条件"
pressing,"a. 紧迫的, 迫切的, 热切的
n. 压, 压榨, 冲压件, 唱片"
procrustean,"a. 普罗克汝斯忒斯的, 强求一致的"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
requisite,"n. 必需品, 要素, 必要物品
a. 必要的, 需要的"
stipulate,"v. 规定, 保证"
importunate,"a. 强求的, 急切的, 坚持的, 讨厌的"
bivouac,"n. 野营, 露营, 露营地
vi. 露宿"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
displace,"vt. 移置, 替换, 转移"
emigrate,"v. (使)移居, (使)移民"
inch,"n. 英寸, 身高, 小岛
vi. 慢慢前进, 慢慢移动
vt. 使缓慢地移动"
locomotion,"n. 运动, 移动, 旅行
"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
migratory,"a. 迁移的, 流浪的"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
motile,"a. 能动的, 运动表象型的
n. 运动表象型"
procession,"n. 队伍, 连续, 列队行进, 涌出"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
slither,"vi. 不稳地滑动
vt. 使滑动"
transplantation,"n. 移植, 移民, 移植术
"
transpose,"vt. 调换, 颠倒顺序, 移项
vi. 互换位置
"
winkle,"n. 滨螺, 食用螺
vt. 剔出, 逐出
vi. 闪耀"
bridle,"n. 马勒, 约束
"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
containment,"n. 抑制, 牵制, 遏制
"
prohibitive,"a. 禁止的, 禁止性的
"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
restrain,"vt. 抑制, 阻止, 束缚
"
restraint,"n. 抑制, 克制, 束缚
"
stifle,"vt. 使窒息, 抑止, 扼杀
vi. 窒息, 被扼杀"
ambush,"n. 埋伏, 伏兵, 伏击
vt. 埋伏, 伏击
vi. 埋伏"
cache,"n. 隐藏所, 隐藏的粮食或物资, 贮藏物, 高速缓冲存储器
vt. 隐藏, 窖藏
"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
dissemble,"v. 掩饰, 假装不知道"
dissimulate,"v. 掩饰, 假装, 装糊涂"
doggo,adv. 隐秘地；躲藏地；一动也不动地
ensconce,"vt. 安顿下来, 安置, 使隐藏"
insidious,"a. 隐伏的, 阴险的, 狡猾的
"
latent,"a. 潜伏性的, 隐藏的
n. 隐约指纹"
lurk,"n. 潜伏, 潜行
vi. 暗藏, 潜伏, 埋伏
"
mantle,"n. 斗篷, 罩子, 披风
vt. 罩住, 覆盖
vi. 覆盖, 脸红"
retiring,"a. 行将隐退的, 行将退休的, 就寝的"
secrete,"vt. 隐秘, 隐藏, 隐匿, 分泌
"
smother,"vt. 使喘不过气, 使窒息, 闷熄, 忍住, 抑制, 覆盖
vi. 窒息, 被抑制
n. 浓烟, 窒息状态, 杂乱无章"
solitary,"n. 独居者
a. 孤独的, 独居的"
stalk,"n. 茎, 追踪, 高视阔步
vi. 悄悄靠近, 蹑手蹑脚地走近, 蔓延, 高视阔步
vt. 追踪, 搜索"
stash,"vt. 藏起来
n. 隐藏处, 隐藏物"
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物
vt. 戴面纱, 隐藏, 遮蔽, 掩饰
vi. 蒙上面纱"
palm,"n. 手掌, 棕榈, 胜利
vt. 与...握手, 藏...于掌中"
privy,"a. 个人的, 私人的, 秘密的, 隐蔽的
n. 有利害关系的人, 当事人, 厕所"
secluded,"a. 隐退的, 隐蔽的"
reclusive,"a. 隐遁的, 隐居的"
ambulatory,"a. 步行的, 走动的, 流动的, 非固定的
n. 回廊"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
gait,"n. 步法, 步态
vt. 训练...的步法"
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
jolt,"n. 震摇, 摇动, 颠簸
vi. 颠簸而行, 震摇
vt. 使颠簸, 使慌张, 猛击"
kinetic,"a. 运动的, 运动引起的, 动力学的, 活动的
"
motility,"n. 运动性, 自动力
"
plummet,"n. 测深锤, 铅坠
vi. 垂直落下"
prance,"n. (马)腾跃, 昂首阔步
vi. 腾跃, 昂首阔步
vt. 使腾跃"
pulsate,"vi. 搏动, 悸动, 震动
"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
"
scuff,"vi. 拖着脚走, 磨损
vt. 拳打, 攻击, 用足尖触, 使磨损
n. 拖着脚走, 磨损, 家用平底拖鞋"
slippage,"n. 滑移, 滑动, 滑程
"
slump,"n. 暴跌, 垂头弯腰的姿态
vi. 猛然掉落, 陷入, 衰落(经济等)"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
swagger,"n. 大摇大摆, 吹牛, 妄自尊大, 威吓
vi. 虚张声势吓人, 大摇大摆, 吹牛
vt. 吓唬, 恫吓
a. 漂亮的, 时髦的"
tempo,"n. 速度, 节奏, 进行速度, (棋的)一着"
traverse,"n. 越过, 横贯, 横断物, 屏障, 否认, 反驳
vt. 横过, 穿过, 经过, 详细研究, 反对, 在...来回移动
vi. 横越, 横断, 旋转, 来回移动
a. 横亘的, 横贯的"
tread,"n. 踏, 步态, 梯级, 交尾, 鞋底
vi. 踏, 行走, 交尾
vt. 踩, 踏, 践踏, 跳(舞)"
waddle,"vi. 摇摇摆摆地走, 蹒跚而行
n. 蹒跚"
athletics,n. 体育运动
canter,"n. 慢跑, 流浪汉
vi. 慢跑
vt. 使慢跑"
accomplish,"vt. 完成, 达到, 实现, 使完美"
attainment,n. 达到
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
fructify,"vi. 结果实
vt. 使结果实, 使肥沃"
insuperable,"a. 不能制胜的, 不能克服的"
outmaneuver,"vt. 对(敌手)机动制胜, 智胜, 在谋略上胜过(敌人)"
preponderant,"a. 占优势的, 多数的, 主要的, 突出的"
preponderate,"vi. 占优势, 主宰"
surmount,"vt. 战胜, 超越, 克服"
transcend,"vt. 超越, 胜过"
winning,"n. 胜利, 获得, 成功, 赢得物
a. 得胜的, 胜利的"
flatten,"vi. 使...不活跃, 变平
vt. 弄平, 打倒, 使失去光泽"
pulverize,"vt. 把...磨成粉
vi. 变成粉"
bicker,"vi. 斗嘴, 潺潺而流, 闪动
n. 口角, 流水声"
brawl,"n. 争吵
vi. 争吵, 哗哗地流水"
discord,"n. 不调和, 不和
vi. 不一致, (声音)刺耳"
fray,"n. 磨损, 打架, 争论
vt. 使磨损
vi. 被磨损"
miff,"n. 小争执, 愠怒
vt. 使恼怒
vi. 恼羞成怒"
polemic,"a. 争辩的, 好争论的
n. 争论, 辩论, 辩论者"
pugnacious,a. 好斗的
skirmish,"n. 前哨战, 小争论, 小冲突
vi. 发生小争论, 侦察"
squabble,"vi. 争吵, 口角
n. 争吵, 口角"
tiff,"n. 一口淡酒, 小争吵, 小口角, 淡酒
vi. 小争吵, 生气"
wrangle,"vi. 争论, 口角
vt. 辩驳, 放牧
n. 口角, 吵嘴"
sparring,"n. 对打；夹条板, 保护条"
strife,"n. 争吵, 竞争, 冲突"
quarrelsome,"a. 喜欢吵架的, 好争论的"
rowdy,"n. 好吵闹的人
a. 吵闹的"
altercation,"n. 争论, 争吵"
disputatious,"a. 爱争论的, 好议论的, 爱争辩的"
belligerent,"a. 好战的, 交战的, 交战国的
"
apologize,"vi. 道歉, 辩解"
contention,"n. 争论, 争辩, 所持的论点
"
contentious,"a. 好争吵的, 爱争论的, 有异议的
"
controversial,"a. 争论的, 论争的, 被议论的"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
dispute,"n. 争论
v. 争论"
haggle,"vi. 争论, 杀价
vt. 乱砍, 乱劈
n. 杀价, 讨论, 争论"
hassle,"n. 激烈而持久的争论
vi. 争论
vt. 与...争辩, 使烦恼"
negotiable,"a. 可磋商的, 可转让的, 可通行的
"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
polemical,a. 好辩的；好争论的；挑起论战的
sophism,n. 诡辩
sophistication,"n. 诡辩, 老于世故, 复杂(性)
"
sophistry,"n. 诡辩
"
tussle,"n. 扭打, 争斗, 论争
vi. 扭打, 打斗"
attest,"vi. 证明, 表明, 作证
vt. 为...作证"
certification,"n. 证明
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
demonstrative,"a. 说明的, 指示的"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
substantiate,"vt. 使实体化, 证实
"
testify,"v. 证明, 作证, 声明, 表明"
testimony,"n. 证言, 证据, 声明
"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
vindicate,"vt. 辩护, 证明...无辜, 维护
"
vindication,"n. 辩护, 证明无辜, 辩明
"
authenticate,"vt. 证明可信, 证实为真, 使具法律效力
"
advocacy,"n. 拥护, 支持, 鼓吹, 辩护, 辩护术
"
allegiance,"n. 忠贞, 效忠"
buttress,"n. 拱壁, 扶壁, 支持物
vt. 支持, 以扶壁支撑"
colonnade,n. 柱廊
espousal,"n. 拥护, 订婚, 婚礼"
espouse,"vt. 支持, 赞成, 嫁, 娶
"
foothold,"n. 立足处, 据点, 根据地"
fulcrum,"n. 杠杆支点, 支点
"
pedestal,"n. 支柱, 基架, 基座, 基础
vt. 加座, 搁在台上, 支持, 提高...的地位"
plinth,"n. 底座, 基脚, 柱基, 勒脚"
prop,"n. 支柱, 支持者, 倚靠人, 道具, 螺旋桨
vt. 支撑, 维持"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
splint,"n. 薄木片, 细木梗, 夹板, 薄金属片
vt. 用夹板固定"
tripod,"n. 三脚桌, 三脚架
"
truss,"vt. 捆绑
n. 捆, 束"
undergird,"vt. 从底层加固, 支持, 加强"
woo,"vt. 追求, 向...求爱, 恳求
vi. 求爱, 央求"
exponent,"n. 说明者, 倡导者, 说明物, 指数
a. 说明的
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
"
sling,"n. 投石器, 抛掷, 吊索, 吊钩
vt. 用投石器投掷, 用吊钩吊上, 吊起"
sanitation,"n. (环境)卫生, 环境卫生的提倡/维持, 卫生设备, 下水道设施, 卫生设施
"
bracket,"n. 支架, 括弧, 托架
vt. 装托架, 括入括弧
"
corroborate,"vt. 巩固, 确证
"
spoke,"n. 轮辐
vt. 装轮辐, 用刹车刹住
speak的过去式"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
chassis,"n. 底盘
"
roadblock,"n. 障碍, 障碍物"
barrier,"n. 障碍, 栅栏
"
blackball,"n. 反对票, 黑球
vt. 投票反对, 排斥"
blockade,"n. 阻塞
vt. 封锁"
blockage,"n. 封锁, 妨碍
"
clog,"n. 障碍, 脚坠
v. 障碍, 阻塞"
cumber,"vt. 妨害, 阻碍, 使受苦
n. 妨害, 累赘"
deadlock,"n. 僵局, 停顿
v. (使)停顿, (使)相持不下
"
deter,"vt. 制止, 吓住, 威慑"
dissuade,"vt. 劝阻
"
encumber,"vt. 妨害, 阻塞, 拖累
"
forestall,"vt. 预先阻止, 先...一步行动, 占先一步, 垄断, 阻碍
"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
hinder,"a. 后面的
v. 阻碍, 打扰"
impasse,"n. 难局, 僵局, 死路, 死胡同"
impede,"vt. 妨碍, 阻碍, 阻止"
impediment,"n. 妨碍, 障碍, 阻止, 口吃
"
intercept,"n. 截取, 妨碍, 截距
vt. 拦截, 阻止, 截取"
logjam,"n. 拥挤, 行不通, 为许多圆木材所阻"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
obstruction,"n. 障碍, 妨碍, 闭塞物
"
occlude,"vt. 使闭塞, 隔断, 挡住
vi. 咬合"
stalemate,"n. 僵持状态, 僵局, 陷于困境, 胶着状况
vt. 将...逼和, 使僵持, 使陷入困境"
stunt,"n. 特技, 绝技, 花招, 噱头, 手腕, 发育不良
vt. 阻碍成长
vi. 表演特技"
stymie,"n. (喻)困难的境地
vt. 使(球)处于困难的位置, 使为难, 使处困境, 妨碍, 阻挠, 阻碍"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
balk,"n. 障碍, 错误, 失败
vt. 阻止, 错过, 推诿
vi. 逡巡不前"
malfunction,"n. 故障, 失灵, 疾病
vi. 发生故障, 不起作用
"
trammel,"n. 鱼网, 拘束, 束缚
vt. 拘束, 束缚"
barricade,"n. 路障, 障碍
vt. 设路障于, 阻碍"
hurdle,"n. 障碍, 跳栏, 临时活动篱笆
vt. 用篱笆围, 越过, 克服"
palings,"n. 木栏, 围篱"
rail,"n. 横杆, 围栏, 栏杆, 铁轨, 扶手, 秧鸡
vt. 以横木围栏, 给...铺铁轨
vi. 责骂, 抱怨"
stockade,"n. 栅栏, 围起的地方
vt. 用栅栏围住"
accelerate,"v. 加速, 促进"
actuate,"vt. 开动, 驱使, 激励"
facilitate,"vt. 使容易, 促进, 帮助
"
hasten,"vt. 催促, 加紧
vi. 赶快, 急忙"
hie,"vt. 使急行, 催促"
impel,"vt. 推动, 激励, 驱使, 迫使"
impetus,"n. 动力, 推动力, 动量
"
instigate,"vt. 教唆, 怂恿, 煽动
"
momentum,"n. 动力, 动量
"
nourish,"vt. 滋养, 使健壮, 怀有"
promote,"vt. 促进, 晋升, 创办, 推销
"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
propel,"vt. 推进, 驱使
"
propeller,"n. 螺旋桨, 推进器
"
propulsion,"n. 推进, 推进力
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
provoke,"vt. 激怒, 惹起, 诱导
"
etch,"vt. 蚀刻, 蚀镂
vi. 施行蚀刻法
n. 腐蚀剂
"
fretwork,"n. 回纹装饰, 浮凸雕工"
icon,"n. 画像, 肖像, 偶像, 图标, 像标
"
marionette,n. 牵线木偶
perforate,"vt. 穿孔于, 刺穿, 打孔穿透
vi. 穿孔, 穿过
a. 有孔的, 穿孔的"
porcelain,"n. 瓷器, 瓷
a. 瓷制的"
torso,"n. 躯干, 裸体躯干雕像
"
abscond,"vi. 潜逃, 逃匿
"
absenteeism,"n. 经常无故缺席, 旷职, 旷工, 旷课
"
avert,"vt. 转开, 避免, 防止"
avoid,"vt. 避免, 防止, 撤消
"
bilk,"vt. 欺骗, 赖帐, 使受挫折
n. 赖帐者, 骗子"
bolt,"n. 门闩, 螺钉, 筛子, 闪电, 意外事件
vt. 闩住, 发射, 脱口而出, 筛, 囫囵吞下
vi. 囫囵吞枣, 射箭, 脱缰, 退出党派
adv. 突然"
circumvent,"vt. 绕行, 陷害, 包围, 智取"
dodge,"v. 避开, 躲避
n. 诡计, 躲藏"
elude,"vt. 逃避, 规避, 把...难倒"
escapism,"n. 逃避现实, 逃避主义"
eschew,"vt. 避开, 远避"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
evasion,"n. 逃避, 藉口
"
evasive,"a. 逃避的, 回避的, 托辞的
"
goldbrick,"vi. 逃避工作, 游手好闲
n. 假金砖, 赝品, 懒汉"
ineluctable,"a. 不可避免的, 无法逃避的"
malinger,"vi. 装病
"
parry,"vt. 挡开, 回避, 闪避的回答
n. 挡开, 回避, 闪避的回答"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
shirk,"vi. 溜掉, 逃避, 推卸
vt. 逃避"
shun,"vt. 避开, 规避, 避免"
sidestep,"n. 横跨的一步, 台阶
vt. 横跨一步躲避, 回避
vi. 回避问题, 躲避打击"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
truancy,"n. 玩忽职守, 旷课
"
wince,"n. 畏缩, 退避
vi. 畏缩, 退缩, 退避"
skulk,"vi. 偷偷隐躲, 偷懒"
sanctuary,"n. 圣所(指教堂、寺院等), 耶路撒冷的神殿, 避难所
"
beget,"vt. 为某人之生父, 招致, 产生, 引起"
engender,"vt. 产生, 引起
vi. 发生, 形成"
evoke,"vt. 唤起, 引起, 召(魂)
"
generate,"vt. 产生, 发生, 导致
"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
occurrence,"n. 发生, 事件, 出现
"
onset,"n. 开始, 攻击, 进攻
"
spontaneity,"n. 自然发生, 自生, 自发"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
forthcoming,"a. 即将来临的
n. 来临"
resurgence,"n. 再起, 复活, 再现"
resurrect,"vi. 复活
vt. 使复活, 复兴, 恢复, 盗掘"
resuscitate,"v. (使)复苏, (使)复兴"
revitalize,"vt. 使恢复生气, 使复活, 使复兴"
inadvertent,"a. 漫不经心的, 非故意的"
flippancy,"a. 轻率, 无礼, 轻率的举动(或言语)"
miscalculate,"vt. 误算
vi. 算错"
amiss,"a. 有毛病的, 出差错的
adv. 错误地, 不顺当, 有缺陷地"
delinquency,"n. 行为不良, 失职
"
delinquent,"n. 行为不良的人, 违法者
a. 怠忽的, 有过失的"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
err,"vi. 犯错, 做错, 犯罪
"
fallacious,"a. 使人误解的, 谬误的, 不合理的, 骗人的"
