the,art. 那
traveler,"n. 旅行者, 游客, 旅客, 旅行推销员, 活动起重架, 行车, 临时记帐单"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
compensation,"n. 补偿, 赔偿金, 工资
"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
dedicate,"vt. 献出, 贡献"
altogether,"adv. 完全地, 总而言之"
pickup,"n. 拾起, 加速, 刺激, 猎物的收集, 好转, 恢复健康, 搭车者, 兴奋剂, 电视摄像
"
carve,"v. 雕刻, 切开"
needle,"n. 针, 尖
vt. 用针缝
vi. 缝纫
"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
portfolio,"n. 皮包, 公文包, 部长职务, 有价证券财产目录, 艺术代表作选辑
"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
invisible,"a. 看不见的, 无形的
"
timing,"n. 时间选择, 时间测定, 定时, 调速
"
engagement,"n. 诺言, 约会, 婚约, 交战
"
ankle,"n. 踝
"
transaction,"n. 交易, 办理, 学报, 和解协议
"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
historically,adv. 历史上地；从历史观点上说
firmly,"adv. 坚固, 坚定, 断然"
mild,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的
"
rider,"n. 骑手, (文件后的)附件, 扶手
"
doll,"n. 洋娃娃, 无头脑的美丽女人"
noon,"n. 正午, 中午, 全盛期"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
amid,"prep. 在其间, 在其中
"
identical,"a. 同一的, 恒等的, 完全相同的
"
precise,"a. 精确的, 严谨的, 明确的
"
anxious,"a. 忧虑的, 发愁的, 渴望的"
structural,"a. 结构的, 建筑的
"
residential,"a. 住宅的, 与居住有关的
"
loud,"a. 大声的, 不断的, 喧吵的
adv. 高声地, 大声地"
diagnose,v. 诊断
carbohydrate,"n. 碳水化合物, 糖类
"
liberty,"n. 自由, 特权, 许可, 冒失
"
poster,"n. 海报, 招贴, 驿马"
theology,n. 神学
nonprofit,"a. 非赢利的, 无利可图的
"
crawl,"n. 爬行, 匍匐而行, 养鱼池
v. 爬行"
oxygen,"n. 氧
"
handsome,"a. 英俊的, 大方的, 慷慨的, 相当可观的, 美观的, 灵敏的"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
provided,"conj. 倘若, 以...为条件"
businessman,"n. 商人, 实业家, 工商业家"
promising,"a. 有希望的, 前途有望的
"
conscious,"a. 有意识的, 知觉的, 觉察的
"
determination,"n. 决心, 果断
"
donor,"n. 捐赠人
"
hers,pron. 她的
pastor,n. 牧师
jazz,"n. 爵士乐, 喧闹
a. 爵士乐的, 喧吵的
vi. 演奏爵士乐, 跳爵士舞, 游荡
vt. 奏爵士乐, 使活泼"
opera,n. 歌剧
Japanese,"n. 日本人, 日语
a. 日本的, 日语的"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
acquisition,"n. 获得, 获得物
"
pit,"n. 深坑, 矿井, 果核, 地窖, 深渊, 绝境, 陷阱
vt. 窖藏, 使凹下, 使有麻点, 去...之核, 使留疤痕, 使相斗, 使竞争
vi. 起凹点, 凹陷"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
wildlife,n. 野生动植物
punish,"vt. 处罚, 惩罚, 严厉对待
vi. 惩罚"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
equity,"n. 公平, 公正
"
wrong,"a. 错误的, 不正当的, 失常的
adv. 错误地"
doorway,"n. 门口, 途径"
departure,"n. 离开, 出发, 违背, 偏离
"
elevator,"n. 电梯, 升降机
"
teenage,a. 十三岁到十九岁的
guidance,"n. 指导, 领导
"
happiness,"n. 快乐, 幸运, 适当"
statue,"vt. 以雕像装饰
n. 雕像"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
decent,"a. 有分寸的, 得体的, 大方的"
gym,"n. +体育馆, 体育训练, 体育课, 体操"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
Israeli,"a. 以色列的, 以色列人(语)的
n. 以色列人"
envelope,"n. 信封, 封套, 封袋
"
reporting,"n. 报道
"
destination,"n. 目的地, 目标, 目的
"
fist,"n. 拳头, 手
vt. 拳打, 握成拳, 紧握"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
exploration,"n. 探险, 踏勘, 探测
"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
bath,"n. 沐浴, 浴室
"
thereby,adv. 因此
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
indicator,"n. 指示器, 指示剂, 指标
"
sunlight,"n. 日光
"
feedback,"n. 反馈, 反应
"
spectrum,"n. 光谱, 范围, 系列
"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
laser,"n. 激光
"
bold,"a. 大胆的
n. 粗体
"
reluctant,"a. 不情愿的, 勉强的
"
starting,"n. 开端, 开始, 出发, 起动, 开动
"
expertise,"n. 专家意见, 专门技术
"
practically,"adv. 几乎, 差不多, 事实上"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
eating,"n. 吃, 食物
a. 侵蚀的, 腐蚀性的"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
hint,"n. 暗示, 提示
v. 暗示, 示意"
sharply,"adv. 锐利地, 严厉地, 厉害地
"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
realm,"n. 王国, 领土, 领域
"
ban,"n. 禁令
vt. 禁止, 取缔"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
blend,"vt. 混合
n. 混合"
therapist,"n. 治疗学家
"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
pizza,n. 比萨饼
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
accounting,"n. 会计学, 帐单, 清帐
"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
huh,"interj. 哼, 哈"
metaphor,n. 隐喻
candle,"n. 蜡烛
vt. 对着光检查"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
judicial,"a. 法庭的, 公正的, 审判上的, 司法的
"
entity,"n. 实体, 实存物, 存在
"
suffering,"n. 苦难, 受苦"
full-time,"专职,全部工作时间的,全日制"
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
lamp,"n. 灯
vt. 照亮
"
garbage,"n. 垃圾, 废物
"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
addition,"n. 加法, 增加的人(或物)
"
regulatory,"a. 受控制的, 统制的, 调整的
"
diplomatic,"a. 外交的, 老练的
"
elegant,"a. 优雅的, 端庄的, 高雅的"
inside,"n. 内部, 内脏, 内幕
a. 内部的, 秘密的, 户内的
adv. 在里面
prep. 在...之内"
reception,"n. 接待, 接受, 招待会
"
vanish,"vi. 消失, 不见, 成为零"
automatically,"adv. 自动地, 机械地"
chin,"n. 下巴, 颏
"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
necessity,"n. 需要, 必需品, 必然
"
confess,"v. 承认, 坦白, 忏悔, 供认"
racism,"n. 种族主义, 种族偏见
"
starter,"n. 开端者, 在起跑线上的人, 参加赛跑的人, 调度员, 起动机, 酵母
"
banking,"n. 银行业务
"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
gravity,"n. 地心引力, 重力
"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
diminish,"v. (使)减少, (使)变小"
prevention,"n. 阻止, 妨碍, 预防
"
Arab,[地名] 阿拉伯 ( 苏丹 )
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
chop,"n. 肋条肉, 排骨, 砍, 戳记, 商标
vt. 剁碎, 砍, 切击, 割断
vi. 砍, 突然转向"
performer,"n. 表演者, 执行者, 完成者
"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
assembly,"n. 与会者, 集会, 装配, 组件
"
civic,"a. 市的, 市民的, 公民的
"
silk,"n. 丝, 绸, 绸锻类, 丝织品
a. 丝的, 丝织的"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
hostage,"n. 人质, 抵押品
"
collector,"n. 收集家, 收取款项的人
"
popularity,"n. 名声, 受大众欢迎, 流行"
kiss,"n. 吻
vt. 吻
vi. 接吻"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
equation,"n. 相等, 等式, 平衡
"
angel,"n. 天使, 守护神, 善人"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
offering,"n. 提供, 奉献物, 牲礼, 上市的股票(或证券等)
"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
photography,"n. 摄影, 摄影术
"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
toilet,"n. 厕所, 梳妆
vi. 梳妆, 打扮, 上厕所
vt. 给...梳妆打扮"
disappointed,a. 失望的
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
prohibit,"vt. 禁止, 阻止
"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
Russian,"adj. 俄国的；俄语的
n. 俄语；俄国人"
hidden,"a. 隐藏的
hide的过去分词
"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
gathering,"n. 聚集, 集中, 采集
"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
stumble,"n. 绊倒, 蹒跚而行, 失足
vt. 使绊倒, 使困惑
vi. 绊倒, 失足, 失策, 犯错, 蹒跚, 踌躇"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
automobile,"n. 汽车
"
artificial,"a. 人造的, 假的, 非原地产的
"
dawn,"n. 破晓, 黎明
vi. 破晓"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
silly,"a. 愚蠢的, 糊涂的"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
tide,"n. 潮, 潮汐, 趋势, 潮流, 涨潮, 高潮
vt. 使随潮漂流
vi. 顺潮行驶"
shared,a. 共享的
hopefully,"adv. 有希望地, 如果希望能实现的话"
readily,"adv. 迅速地, 轻易地, 乐意地"
cooperate,"vi. 合作, 协力, 配合
"
revolutionary,"n. 革命者, 革命党人
a. 革命的, 革命性的"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
hardware,"n. 硬件, 五金器具, 零件
"
pillow,"n. 枕头, 靠垫, 枕状岩
vt. 作...的枕头, 垫, 枕于
vi. 靠在枕上"
kit,"n. 装备, 工具箱, 成套工具
"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
continent,"n. 大陆, 洲
a. 自制的"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
circuit,"n. 电路, 环(行)道, 巡回
"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
ruling,"n. 判决, 裁定, 统治
a. 统治的, 支配的, 普遍的"
shortage,"n. 不足, 缺乏
"
annually,"adv. 一年一次, 每年
"
lately,"adv. 近来, 最近"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
fool,"n. 愚人, 受骗者, 奶油拌水果
vt. 愚弄, 欺骗, 浪费
vi. 干傻事, 开玩笑, 游荡
a. 傻的"
deadline,"n. 最后期限, 截止期限
"
rear,"n. 后面, 背后, 后方
a. 后面的, 背面的, 后方的
vt. 养育, 培养, 饲养, 举起, 树立, 栽种
vi. 高耸, 暴跳"
processing,
ranch,"n. 大牧场
v. 经营牧场"
coastal,"a. 海岸的, 沿海的, 沿岸的
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
softly,"adv. 柔和地, 静静地, 温柔地"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
burning,"a. 燃烧的, 象燃烧一样的
n. 烧, 燃烧"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
tribal,"a. 部落的, 宗族的"
ridiculous,"a. 荒谬的, 可笑的"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
diamond,"n. 钻石, 菱形
"
credibility,"n. 可信用, 确实性, 可靠
"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
sexually,adv. 性别地；两性之间地
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
way,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面
adv. 远远地, 非常"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
cart,"n. 二轮运货马车
vi. 驾运货马车
vt. 用车装载"
oversee,"vt. 向下看, 了望, 监督, 偷看到
"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
elder,"n. 年长者, 老人, 前辈
a. 年长的, 资深的"
pro,"adv. 正面地
"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
Dutch,"n. 荷兰人, 荷兰语
a. 荷兰的"
quantity,"n. 量, 数量, 总量
"
trailer,"n. 追踪者, 拖车
"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
o'clock,"n. ...点钟, 钟头"
Greek,"n. 希腊人, 希腊语
a. 希腊的, 希腊人的
"
genius,"n. 天才, 天赋, 精神, 神魔
"
monument,"n. 纪念碑, 纪念物, 石碑"
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
invitation,"n. 邀请, 请柬, 引诱
"
accuracy,"n. 精确, 正确
"
juror,"n. 陪审员, 审查委员
"
officially,"adv. 作为公务员, 职务上, 官方地"
broker,"n. 掮客, 经纪人
"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
loyalty,"n. 忠贞, 忠诚, 忠实
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
talented,"a. 天资高的, 有才能的"
gasoline,"n. 汽油
"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
output,"n. 输出, 产品, 产量
"
nominee,"n. 被提名者, 被任命者
"
extended,"a. 延续的, 伸出的, 竭尽全力的, 广大的, 扩大范围的
"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
diabetes,"n. 糖尿病, 多尿症
"
slap,"n. 掴, 掌击, 侮辱, 拍击声
v. 拍击, 惩罚
adv. 正面地, 直接地, 突然地"
toxic,"a. 有毒的, 中毒的
"
alleged,"a. 被断言的, 所谓的
"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
mysterious,"a. 神秘的, 难解的, 不可思议的"
rocket,"n. 火箭, 烟火
vi. 急升, 猛涨, 飞驰
vt. 用火箭运载"
donate,v. 捐赠
inmate,"n. 同住者, 被收容者
"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
dynamics,"n. 动力学
"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
ours,pron. 我们的
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
dignity,"n. 尊严, 高贵
"
carpet,"n. 地毯, 地毯状物
vt. 铺以地毯, 铺盖"
parental,"a. 父母亲的, 做双亲的, 作为渊源的
"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
heat,"n. 热, 热度, 体温, 高潮
vi. 加热, 激昂, 加剧
vt. 把...加热, 使激动"
buddy,"n. 好朋友, 伙伴"
barn,"n. 谷仓
"
sword,"n. 刀, 剑, 战争, 武力, 剑状物"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
seventh,"num. 第七, 七分之一"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
tightly,"adv. 紧紧地, 坚固地"
protective,"a. 给予保护的, 保护的
"
tuck,"n. 缝褶, 活力, 鼓声, 船尾突出部, 食品
vt. 打褶, 卷起, 挤进, 塞, 收藏
vi. 缝褶裥, 缩拢"
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
post,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营
vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置
vi. 快速行进
adv. 急速地
"
queen,"n. 王后, 女王
vt. 立为女王
vi. 做女王"
dilemma,"n. 困境, (进退两难的)窘境"
input,"n. 输入, 输入电路
vt. 输入
"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
northeast,"n. 东北
a. 东北的, 向东北的, 来自东北的
adv. 向东北, 来自东北"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
liability,"n. 责任, 债务, 倾向
"
sail,"n. 帆, 篷, 帆船, 航程, 帆状物
vi. 航行, 启航, 张帆而行
vt. 航行于, 驾船"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
stadium,"n. 露天大型运动场
"
improved,a. 改良的
bloody,"a. 血腥的, 嗜杀的, 有血的"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
associated,"a. 联合的
"
withdrawal,"n. 提款, 撤退, 退回, 撤消, 退隐, 戒毒过程
"
refrigerator,"n. 电冰箱, 冷藏库
"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
