able,"a. 能干的, 能够的"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
whirl,"n. 回旋, 旋转, 急走, 眩晕
vt. 使旋转, 使回旋, 卷走
vi. 回旋, 旋转, 急走, 发晕"
zigzag,"n. 曲折线条, Z字形道路
a. 之字形的, 曲折的, 锯齿形的
adv. 之字形地, 曲折地, 成锯齿形地
vt. 使成之字形, 使曲折进行
vi. 成之字形, 弯曲地走路"
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
jam,"n. 果酱, 拥塞之物, 堵塞, 困境
vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞
vi. 堵塞, 轧住, 拥挤"
humid,"a. 潮湿的, 湿润的, 多湿气的"
moist,"a. 潮湿的, 多雨的, 感伤的, 含泪的
"
hut,"n. 小屋, 茅舍, 临时军营
v. (使)住在茅舍"
mansion,"n. 大厦, 宅邸"
hyperactive,"a. 活动过度的
"
inertia,"n. 惯性, 惰性, 迟钝
"
hysterical,"a. 歇斯底里的, 异常兴奋的
"
identification,"n. 识别, 身份证明, 认同
"
idiot,"n. 白痴, 极蠢之人
"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
wit,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人"
immerge,"vi. 浸入, 隐没, 埋头"
thrust,"n. 插, 戳, 刺, 猛推, 口头攻击, 推力
vt. 插入, 猛推, 刺, 戳, 强加, 延伸
vi. 插, 刺, 戳, 延伸, (用力)推"
poke,"n. 刺, 戳, 袋子
vt. 戳, 捅, 拨弄, 刺
vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢
"
stab,"n. 刺, 戳, 剧痛, 尝试, 努力
vt. 刺, 戳, 刺入, 刺痛, 直入, 使伤心
vi. 刺, 刺伤"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
prick,"vt. 刺, 戳, 刺痛, 使竖起
vi. 刺, 竖起
n. 扎, 一刺, 刺痛
a. 竖起的"
puncture,"n. 刺痕, 穿刺
vt. 刺穿, 刺, 揭穿
vi. 被刺穿"
incapable,"a. 无能力的, 不能的
"
aptitude,"n. 资质, 才能, 自然倾向
"
incur,"vt. 招致, 蒙受, 遭遇
"
incursion,"n. 侵入, 侵略, 奇袭"
intrude,"vi. 闯入, 侵入
vt. 强加于"
raid,"n. 袭击, 突袭, 搜捕
v. 奇袭, 搜捕
"
infrared,"a. 红外线的
n. 红外线"
ultraviolet,"a. 紫外线的
"
laser,"n. 激光
"
radiant,"a. 发光的, 明亮的, 辐射的, 容光焕发的
"
radioactive,"a. 放射性的, 有放射能的
"
inscribe,"vt. 登记, 铭记于, 题写, 雕刻
"
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
"
statue,"vt. 以雕像装饰
n. 雕像"
insidious,"a. 隐伏的, 阴险的, 狡猾的
"
rectitude,"n. 正直, 纯正, 正确
"
sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
insulate,"vt. 使绝缘, 隔离
"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
intersection,"n. 交集, 十字路口, 交叉点
"
interval,"n. 间隔, 距离, 间歇, 间隙
"
introspect,"vt.vi. 进行反省
"
inverse,"a. 倒转的, 相反的
n. 反向, 反面
"
irrelative,a. 无关系的
relativity,"n. 有关系, 相关性, 相对性
"
irrespective,"a. 不顾的, 无关的, 没关系的"
jail,"n. 监牢, 监狱, 拘留所
vt. 监禁, 下狱"
gaol,"n. 监禁, 监狱
vt. 监禁"
jargon,"n. 专门术语, 行话, 梦话, 土语
"
layman,"n. 俗人, 门外汉, 凡人
"
jazz,"n. 爵士乐, 喧闹
a. 爵士乐的, 喧吵的
vi. 演奏爵士乐, 跳爵士舞, 游荡
vt. 奏爵士乐, 使活泼"
melody,"n. 曲子, 美妙音乐, 曲调"
tempo,"n. 速度, 节奏, 进行速度, (棋的)一着"
jolly,"a. 愉快的, 高兴的, 宜人的
vt. 恭维, 使高兴, 取笑
vi. 开玩笑
adv. 非常, 极为"
mirth,"n. 欢笑, 欢乐, 愉快"
stimulant,"a. 兴奋性的, 激励的, 鼓舞的
n. 兴奋剂, 酒精饮料"
mourn,"v. 哀悼, 忧伤, 服丧"
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
weep,"n. 哭, 哭泣
vi. 哭泣, 流泪, 哀悼, 滴落
vt. 哭着使..., 悲叹, 滴下"
sob,"vi. 啜泣, 呜咽
vt. 哭诉, 哭得使
n. 啜泣, 呜咽"
judicial,"a. 法庭的, 公正的, 审判上的, 司法的
"
censorship,"n. 检查制度
"
kettle,"n. 茶壶, 罐
"
mug,"n. 有柄大杯, 脸, 苦读者
vt. 给...拍照, 攻击, 苦读
vi. 拼命用功"
jar,"n. 广口瓶, 震动, 刺耳声
vi. 震惊, 冲突, 发刺耳声, 不一致
vt. 震动, 刺激"
saucer,"n. 茶碟, 茶托
"
tray,"n. 托盘, 公文盘, 满盘, 发射箱
"
spoon,"n. 匙, 调羹, 匙形工具
vt. 以匙舀起, 调情, 使成匙状"
lid,"n. 盖子, 限制, 眼睑
vt. 给...盖盖子"
kin,"n. 亲戚, 同族, 血缘关系, 家族
a. 有亲属关系的, 性质类似的, 同类的"
nephew,"n. 侄子, 外甥"
niece,"n. 侄女, 甥女"
kindergarten,n. 幼稚园
preschool,"a. 就学前的
n. 育幼院, 幼稚园"
sophomore,"n. (大学)二年级生
a. 二年级学生的, 二年级的"
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
latent,"a. 潜伏性的, 隐藏的
n. 隐约指纹"
transparent,"a. 透明的, 显然的, 清晰的
"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
lavatory,"n. 洗脸盆, 厕所"
shampoo,"n. 洗头, 洗发剂
vt. 洗头, 洗发"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
towel,"n. 手巾, 毛巾
v. 擦干身子"
shave,"n. 修面, 刮胡子, 幸免, 剃刀
vt. 修面, 剃, 修剪, 掠过
vi. 刮脸, 勉强通过"
lavish,"a. 大方的, 丰富的, 浪费的
vt. 浪费, 滥用, 慷慨给予"
leaflet,"n. 小叶, 传单
"
lease,"n. 租约, 租期, 租
vt. 出租, 租出, 租得"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
lens,"n. 透镜, 镜头, 镜片, 晶状体
vt. 给...摄影"
lick,"n. 舔, 少许, 打
vt. 舔, 卷过, 鞭打
vi. 轻轻拍打"
lightning,"n. 闪电
vi. 闪电
a. 闪电的"
thunder,"n. 雷, 雷声
vi. 打雷, 轰隆地响, 怒喝
vt. 大声喊出, 轰隆地发出"
linear,"a. 线的, 直线的, 线状的
"
streamline,"n. 流线, 流线型
vt. 使成流线型, 使合理化"
vertical,"a. 垂直的, 直立的
"
locality,"n. 地方, 所在, 位置
"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
longevity,"n. 长命, 长寿, 寿命
"
longsighted,"a. 远视的, 有远见的"
optical,"a. 眼睛的, 视觉的, 光学的
"
wink,"n. 眨眼, 使眼色, 瞬间
vi. 眨眼, 使眼色, 闪烁
vt. 眨"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
slender,"a. 苗条的, 纤弱的, 微少的, 微薄的
"
width,"n. 宽度, 宽广, 广博
"
altitude,"n. 高度, 海拔, 高处
"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
malignant,"a. 有恶意的, 恶性的, 有害的
"
wicked,"a. 坏的, 邪恶的, 缺德的, 刻毒的, 恶劣的, 淘气的"
malnutrition,"n. 营养失调, 营养不良
"
maltreat,"vt. 虐待, 滥用
"
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
tactics,"n. 用兵学, 战术, 兵法
"
medieval,"a. 中古的, 中世纪的"
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
metric,"a. 公尺的, 公制的, 计量的
"
mill,"n. 压榨机, 磨坊, 制造厂
vt. 碾磨, 磨细, 搅拌, 使乱转
vi. 乱转, 被碾磨"
turbine,"n. 涡轮机
"
miraculous,"a. 奇迹的, 不可思议的"
marvelous,"a. 令人惊异的, 了不起的, 不平常的"
mistrust,"n. 不信任, 疑惑
v. 不信任, 疑惑"
mob,"n. 暴民, 民众, 暴徒
vt. 大举包围, 蜂拥进入, 围攻
vi. 聚众生事"
monologue,"n. 独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话"
mosaic,"n. 马赛克, 镶嵌细工, 镶嵌工艺
a. 马赛克的, 镶嵌细工的, 拼花的
vt. 用镶嵌细工装饰
"
multiform,"a. 各种形式的, 多样的, 多种的
"
tedious,"a. 沉闷的, 冗长乏味的"
multilingual,a. 多语言的
unilingual,"a. 使用一种语言的, 单语的"
mutable,"a. 易变的, 性情不定的"
unconverted,"a. 未转变的, 不变化的, 不改变信仰的
"
mutter,"n. 喃喃低语
vi. 喃喃自语, 作低沉声
vt. 出怨言, 抱怨地说"
nap,"n. 小睡, 稍睡, 细毛, 孤注一掷
vi. 小睡, 疏忽
vt. 使拉毛, 打盹度过, 预测...为获胜马"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
sneeze,"n. 喷嚏
vi. 打喷嚏"
nationality,"n. 国籍, 国家, 民族性
"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
naughty,"a. 顽皮的, 没规矩的, 不适当的, 下流的"
necessitate,"vt. 迫使, 使成为必需, 需要"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
nonexistent,a. 不存在的
simultaneous,"a. 同时的, 同时发生的
"
notwithstanding,"adv. 虽然, 尽管
prep. 尽管
conj. 虽然"
novice,"n. 新手, 初学者"
numb,"a. 麻木的, 失去知觉的
vt. 使麻木, 使昏迷, 使失去知觉"
sensation,"n. 感觉, 轰动
"
oath,"n. 誓约, 誓言, 咒骂
"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
omission,"n. 省略, 遗漏, 疏忽
"
oppress,"vt. 压迫, 压抑, 使烦恼"
repression,"n. 抑制, 压抑, 制止
"
opt,vi. 选择
oriental,"n. 东方人, 亚洲人
a. 东方诸国的, 亚洲的, 东方的"
orphan,"n. 孤儿
a. 无双亲的, 孤儿的
vt. 使成孤儿
"
solitary,"n. 独居者
a. 孤独的, 独居的"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
orthodox,"a. 正统的, 传统的, 惯常的"
outskirts,"n. 近郊, 市郊"
suburban,"a. 郊外的, 郊区的, (贬)偏狭的, 土气的, 见识不广的
n. 郊区居民"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
overhear,"vt. 无意中听到, 偷听"
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
overstrain,"vt. 伸张过度, 使过度紧张, 使工作过度
vi. 过度紧张
n. 过度紧张, 过劳"
overtake,"vt. 赶上, 突然降临于, 压倒, 代替"
overtime,"n. 超时, 加班, 延长时间
a. 超时的, 加班的
adv. 加班地
vt. 使超过时间"
overpass,"n. 天桥, 旱桥, 立交桥
vt. 超越, 胜过, 通过, 忽略, 侵犯"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
pact,"n. 契约, 协定, 条约
"
treaty,"n. 条约, 谈判
"
pail,"n. 桶, 提桶"
tub,"n. 桶, 浴盆
vt. 装入桶, 洗澡
vi. 洗盆浴, 被放在桶里洗"
paperback,"n. 平装本, 纸面本"
stationery,"n. 文具, 信纸
"
parameter,"n. 参变数, 参变量, 参数, 参量
"
partake,"vt. 参与, 分担, 分享
vi. 分享, 参与, 带有"
paste,"n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击
vt. 用浆糊粘, 张贴, 狠狠地打
"
sticky,"a. 粘的, 有粘性的, 顽固的"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
credential,"n. 国书, 凭据, 证明书
"
pickup,"n. 拾起, 加速, 刺激, 猎物的收集, 好转, 恢复健康, 搭车者, 兴奋剂, 电视摄像
"
pillar,"n. 柱子, 栋梁, 台柱, 重要的支持者
"
pillow,"n. 枕头, 靠垫, 枕状岩
vt. 作...的枕头, 垫, 枕于
vi. 靠在枕上"
quilt,"n. 棉被
vt. 加软衬料后缝制, 东拼西凑地编
vi. 缝被子"
sofa,n. 沙发
stool,"n. 凳子, 大便, 粪便, 厕所
vi. 长新枝
vt. 引诱, 诱捕"
pint,"n. 品脱(干量或液量的单位)
"
piston,"n. 活塞, 活塞阀键
"
pit,"n. 深坑, 矿井, 果核, 地窖, 深渊, 绝境, 陷阱
vt. 窖藏, 使凹下, 使有麻点, 去...之核, 使留疤痕, 使相斗, 使竞争
vi. 起凹点, 凹陷"
portable,"a. 可携带的, 可搬运的, 可移动的
"
portage,"n. 陆上运输, 搬运
v. 转到陆上运输"
porter,"n. 大楼管理员, 门房, 搬运工人, 侍者, 服务员
"
postwar,a. 战后的
warfare,"n. 战争, 战斗, 交战, 斗争, 竞争
"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
weapon,"n. 武器, 兵器
vt. 武装"
pistol,"n. 手枪, 信号枪
vt. 以手枪杀死(或伤害)"
spear,"n. 矛, 枪, 持矛者, 嫩枝
vt. 用矛刺
vi. 刺, 戳
a. 父系的"
rifle,"n. 来复枪, 步枪
vt. 用步枪射击, 抢夺
vi. (抱有不良意图)迅速翻查"
spade,"n. 铲子, 锄, 铲刀, 黑桃
vt. 以锄掘, 把...弄实抹平
vi. 铲"
predominance,"n. 主导地位, 优势"
projector,"n. 计划人, 发起人, 规划人, 放映机, 映画器, 幻灯机, 幻灯, 探照灯, 发射器
"
propulsion,"n. 推进, 推进力
"
impel,"vt. 推动, 激励, 驱使, 迫使"
prototype,"n. 原型
"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
minimise,"vt. 使减到最少/最小, 使降到最低限度, 使缩到最小, 极度轻视"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
puff,"n. 一阵喷烟, 肿块, 喘息
v. 喷出, 张开, 吹捧, (使)充气, 喘气, (使)骄傲, (使)膨胀"
puppet,"n. 傀儡, 木偶
"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
violet,"n. 堇菜, 紫罗兰
a. 堇菜科的, 紫罗兰色的"
quiver,"n. 震动, 颤抖, 箭袋
vi. 颤抖, 振动
vt. 使颤动
a. 敏捷的"
shiver,"vi. 颤抖, 哆嗦, 被打碎
vt. 使迎风飘动, 粉碎
n. 战栗, 碎块"
quiz,"n. 考查, 课堂测验, 恶作剧, 智力测验
vt. 戏弄, 考查, 恶作剧"
rape,"n. 抢夺, 掠夺, 强奸, 葡萄渣, 芸苔
vt. 掠夺, 抢夺, 强奸"
snatch,"n. 抢夺, 攫取, 片断
vt. 夺取, 攫取
vi. 想抢走, 攫取"
robbery,"n. 抢掠, 抢夺
"
rearrange,"vt. 再排列, 重新整理
"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
reassure,"vt. 使...安心, 向...再保证
"
rebellion,"n. 谋反, 叛乱, 反抗
"
revolt,"n. 叛乱, 反抗, 反感
vi. 叛乱, 反抗, 起义, 厌恶, 反感
vt. 使反感, 使恶心"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
unilateral,"a. 单方面的, 单边的, 片面的
"
versatile,"a. 多才多艺的, 万用的, 万向的"
recollect,"vt. 回忆, 回想, 忆起
vi. 回忆"
recreate,"v. (使)得到休养, (使)得到娱乐, 再创造"
redundant,"a. 多余的, 过多的, 冗长的
"
remainder,"n. 剩余物, 其他人, 残余, 余数
v. 削价出售(图书)
a. 剩余的, 出售削价剩书的
"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
refreshment,"n. 点心, 起提神作用的事物, 精神爽快"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
repay,"v. 偿还, 报答, 报复"
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
remodel,"vt. 改造, 改型, 改变"
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
reservation,"n. 保留, 预定, 保留品, 保留地
"
resultant,"a. 结果的, 合成的
n. 结果, 合力, 生成物"
retention,"n. 保持, 留置, 保留, 保持力, 保留物, 记忆, 停滞, 固位
"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
roast,"n. 烤肉, 烘烤, 嘲笑
a. 烘烤的, 烤过的
vt. 烤, 炙, 烘焙, 嘲笑
vi. 烤, 炙, 烘焙"
rod,"n. 竿, 笞鞭, 小枝
"
shaft,"n. 轴, 箭杆, 矛, 矿井
vt. 装杆于, 利用"
rouse,"n. 觉醒, 奋起, 干杯
vt. 唤醒, 鼓舞, 激动, 使振奋, 惊起
vi. 醒来, 奋起"
waken,"vt. 唤醒, 使觉醒, 激发
vi. 觉醒, 醒来"
rust,"n. 锈, 生锈, 衰退
vi. 生锈, 衰退
vt. 使生锈, 腐蚀"
sane,"a. 神智健全的, 稳健的, 没病的, 合理的
"
sarcastic,"a. 讽刺的, 讥讽的"
satiate,"vt. 使饱足, 使厌腻, 充分满足
a. 饱足的, 厌腻的"
suffice,"vi. 足够, 有能力
vt. 满足"
plentiful,"a. 许多的, 丰富的, 丰饶的"
underfund,vt.对…提供资金不足
undertreatment,处理不足
scout,"n. 守候, 侦察, 搜索, 侦察员, 侦察机
vi. 守候, 侦察, 巡视, 嘲笑
vt. 侦察, 跟踪, 发现, 监视, 嘲弄"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
shady,"a. 荫凉的, 成荫的, 阴暗的, 隐蔽的
"
shilling,"n. 先令
"
shorthand,"n. 速记
"
shutter,"n. 百叶窗, 关闭物, 照相机快门, 关闭者
vt. 为...装百叶窗, 以百叶窗遮闭"
siren,"n. 女海妖, 妖女, 警报器, 汽笛, 迷人的美女
a. 诱惑的
vi. 响着警报器前进"
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
tilt,"n. 倾斜, 倾向, 船篷, 车篷
vt. 使倾斜, 使倾侧, 用帆布篷遮盖
vi. 倾斜, 翘起, 冲, 评击
"
slum,"n. 贫民窟
vi. 访问贫民区"
smuggle,"vt. 偷运, 走私, 私运
vi. 走私"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
sniff,"n. 以鼻吸气, 嗅, 气息
vi. 嗅, 蔑视, 嗤之以鼻
vt. 闻, 用力吸, 发觉"
snobbish,"a. 自命不凡的, 势利的"
solemn,"a. 严肃的, 郑重的, 庄严的"
soluble,"a. 溶解的, 可溶解的, 可以解决的
"
specimen,"n. 样品, 标本, 试料
"
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
spit,"n. 唾液, 唾吐, 小雨, 炙叉, 一铲的深度
vt. 唾吐, 吐出, 降小雨, 用炙叉穿过
vi. 吐唾沫, 吐痰, 唾弃, 飘霏霏细雨"
sponge,"n. 海绵, 海绵状的东西
vt. 用海绵擦拭, 吸收掉, 抹掉
vi. 采集海绵, 海绵般吸收"
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
stairway,"n. 楼梯, 阶梯"
staircase,"n. 楼梯, 梯子, 楼梯部分
"
stale,"n. 尿
a. 不新鲜的, 陈腐的, 疲惫的, 陈旧的
vt. 使变旧, 走味
vi. 变陈旧, 走味, 失时效, 撒尿"
standpoint,"n. 立场, 观点"
starve,"v. (使)饿死, (使)挨饿"
famine,"n. 饥荒, 缺乏, 饥饿"
thirst,"n. 口渴, 渴望
vi. 口渴, 渴望"
static,"n. 静电, 静电干扰
a. 静态的, 静止的, 固有的, 静电的"
stereo,"n. 铅版, 立体照片
a. 立体的, 立体感觉的"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
strenuous,"a. 奋发的, 费劲的, 艰苦的"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
supercluster,n. [天]超星系团
supereminent,"a. 卓越的, 极为出色的"
supersensitive,"a. 过敏的
"
supersonic,"a. 超声波的
"
surrealism,"n. 超现实主义
"
sweat,"n. 汗, 汗水, 水珠, 焦急
vi. 出汗, 渗出, 冒出水气, 结水珠, 烦恼, 懊恼
vt. 使出汗, 流出, 榨出, 使汗流浃背"
symmetry,"n. 对称, 匀称
"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
synthesis,"n. 综合, 组织, 综合体
"
tan,"n. 黄褐色, 鞣料, 马戏团
a. 黄褐色的, 鞣皮的
vi. 晒成棕褐色
vt. 把...晒黑, 鞣(革), 狠狠鞭打"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
tangle,"n. 缠结, 纠结的一团, 困惑, 纠纷, 混乱
vt. 使缠结, 缠住
vi. 缠结, 乱作一团"
perturb,"vt. 扰乱, 使混乱, 使心绪不宁"
tariff,"n. 关税, 关税表, 价格表, 收费表
vt. 课以关税
"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
teleconference,"[计] 电信会议, 远程会议"
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
"
testimony,"n. 证言, 证据, 声明
"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
transect,"vt. 横切, 横断"
tumble,"n. 跌倒, 摔跤, 翻斤斗
vi. 翻倒, 摔倒, 倒塌, 滚动, 翻斤斗, 仓促地行动
vt. 使摔倒, 使滚翻, 弄乱"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
understatement,"n. 软弱无力的陈述, 克制的说法
"
vapor,"n. 汽, 蒸气
vi. 蒸发
vt. 使蒸发"
velocity,"n. 速度, 迅速
"
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开
"
versus,"prep. 对...
"
visa,"n. 签证
vt. 签发"
vivisect,"vi. 活体解剖
vt. 对...作活体解剖"
waterproof,"n. 防水材料
a. 不透水的, 防水的
vt. 使防水"
wax,"n. 蜡, 蜡状物, 一阵发怒, 增加, (月亮)渐盈
vi. 变大, 增大, 月亮渐满
vt. 上蜡于"
weekday,"n. 周日, 平日
"
whatsoever,pron. 无论什么
