nursery,"n. 托儿所, 苗圃, 温床
"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
instrument,"n. 工具, 手段, 仪器
"
instrumental,"a. 仪器的, 器具的, 可作为手段的
"
load,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载
vt. 装载, 装填, 使担负
vi. 装货, 上客, 装料
"
audience,"n. 听众, 观众, 读者
"
viewer,"n. 观察者, 看电视者, 视察员, 观察器
"
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
moreover,"adv. 而且, 此外"
legal,"a. 法律的, 法定的, 合法的
"
illegal,"a. 违法的, 不合规定的
"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
communication,"n. 交流, 交通, 通讯
"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
industrialisation,n. 工业化
valley,"n. 山谷, 溪谷, 流域, 凹地
"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
regardless,"a. 不管, 不注意, 不顾"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
agreement,"n. 同意, 合约, 协议
"
agreeable,"a. 令人愉快的, 同意的
"
depth,"n. 深度, 深处, 深奥
"
deepen,"vi. 深化
vt. 使加深, 使强烈"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
separately,adv. 
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
symbol,"n. 符号, 象征, 代号, 信条
"
symbolise,"vt. 象征, 代表, 作为...的象征
vt.vi. 用符号表示, 使用符号"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
deadline,"n. 最后期限, 截止期限
"
research,"n. 研究, 调查, 考察
vi. 研究, 调查"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
adjustment,"n. 调整, 调节, 校正
"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
further,"a. 更远的, 此外的, 更多的
vt. 促进, 增进, 助长
adv. 更进一步地, 更远地, 此外"
method,"n. 方法, 办法, 条理, 秩序
"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
loosen,"vt. 放松, 松开, 解除
vi. 变松, 松弛"
reasonable,"a. 合理的, 明理的, 适当的
"
via,"prep. 经由, 经过, 通过
"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
selection,"n. 选择, 选文, 精选品
"
selective,"a. 选择的, 选择性的
"
injury,"n. 伤害, 侮辱
"
injure,"vt. 伤害, 损害, 使受冤屈
"
outdoors,"n. 户外, 野外活动
adv. 在户外, 在野外"
site,"n. 位置, 场所, 地点
vt. 给...择址"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
remain,"vi. 保持, 逗留, 剩余
"
learned,"a. 有学问的, 学术上的
learn的过去式和过去分词"
historian,"n. 历史学家, 记事者"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
acceptable,"a. 可接受的, 合意的, 可忍受的"
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
threat,"n. 恐吓, 恶兆, 威胁
"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
radar,"n. 雷达, 无线电探测器
"
throughout,"adv. 到处, 贯穿全部地, 自始至终
prep. 遍及, 在各处
"
lately,"adv. 近来, 最近"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
"
unrelated,[法] 无关的
interrelate,v. (使)相互关联
interrelationship,n. 相互关系
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
mystery,"n. 秘密, 神秘, 奥秘"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
heavily,"adv. 很重地, 严重地, 难以忍受地"
harm,"n. 伤害, 害处
vt. 伤害, 损害"
harmful,"a. 有害的, 伤害的"
fishery,"n. 渔业
"
hardship,"n. 艰难, 辛苦, 苦难
"
harden,"vt. 使变硬, 使坚强, 使冷酷
vi. 变硬, 变冷酷"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
print,"n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章
v. 打印, 印刷, 铭记, 留印记于, 用印刷体写
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
belief,"n. 信念, 相信, 信仰"
castle,"n. 城堡, 象棋中的车
vt. 置于城堡中, 盘踞于"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
upper,"a. 上面的, 较高的, 上级的, 上院的, 穿在外面的, 北部的, 地表的, 后期的
n. 鞋帮, 上齿"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
jet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
auto,"n. 汽车
pref. 表示""自己""、""本身"", 表示""自己的"", 表示""自动的"""
automobile,"n. 汽车
"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
construction,"n. 建筑, 构造, 建筑物
"
constructive,"a. 建设性的, 构造上的
"
reconstruct,"vt. 重建, 改造
"
storm,"n. 暴风雨, 骚动, 风波, 风暴, 猛攻
vi. 起风, 猛冲, 怒吼
vt. 猛攻"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
mastery,"n. 征服, 统治权, 优势, 精通, 掌握
"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
partly,"adv. 部分地, 在一定程度上"
partially,"adv. 部分地, 一部分地, 不公平地"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
victim,"n. 受害人, 牺牲者, 牺牲品
"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
salary,"n. 薪水
vt. 给...加薪"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
triangle,"n. 三角形, 三个一组, 三角关系
"
expression,"n. 表达, 表现, 词语, 措辞
"
expressive,"a. 表达的, 富于表情的"
enemy,"n. 敌人, 仇敌, 敌军
a. 敌人的"
commonly,"adv. 一般, 普通, 通常"
uncommon,"a. 不寻常的, 非凡的, 罕有的
adv. 不平常地"
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具
"
intelligence,"n. 智力, 情报, 信息
"
cultural,"a. 文化的, 教养的, 修养的
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
consumer,"n. 消费者
"
consumerism,n. 保护消费者利益运动
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
supplier,"n. 供应者, 供给国, 供应商
"
belt,"n. 带子, 地带
"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
undue,"a. 不适当的, 过度的, 未到期的
"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
citizen,"n. 市民, 公民
"
citizenry,"n. 市民
"
citizenship,"n. 国籍, 市民权, 市民的身份
"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
misunderstand,"vt. 误解, 误会"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
admirable,"a. 可钦佩的, 极好的, 令人惊奇的"
admiration,"n. 赞赏, 钦佩, 引人赞赏的对象"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
"
readily,"adv. 迅速地, 轻易地, 乐意地"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
database,"n. 数据库
"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
eager,"a. 热心的, 渴望的, 热望的"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
collective,"a. 集体的, 聚集的, 共同的
"
continuous,"a. 连续的, 继续的, 连续不断的
"
continual,"a. 持续不断的, 继续的
"
continuity,"n. 连续性
"
continuance,"n. 继续, 停留, 持续
"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
popularity,"n. 名声, 受大众欢迎, 流行"
popularise,"vt.vi. 使通俗化, 使受欢迎, 使大众化, 使普及, 宣传, 推广"
benefit,"n. 利益
vt. 有益于
vi. 受益"
wealth,"n. 财富, 资源, 财产, 丰富, 富裕, 大量
"
wealthy,"a. 富有的, 丰裕的, 充分的"
pipeline,"n. 管道, 传递途径
"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
doubtful,"a. 可疑的, 疑心的, 不明确的
"
undoubtedly,"adv. 无疑, 必定, 确实地"
suitable,"a. 适当的, 相配的
"
suitability,"n. 适合, 适当
"
translation,"n. 翻译, 译文, 转化, 调任, 平移, 转译
"
memorise,"vt. 记住, 熟记, 记录, 存储"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
atom,"n. 原子, 核能, 微粒, 微量
"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
painful,"a. 痛苦的, 困难的, 令人烦恼的
"
painless,"a. 无痛的, 不痛的
"
director,"n. 主管, 导演, 董事
"
upside,"n. 上侧, 上段, 上部
"
similarly,"adv. 相像地, 类似于"
similarity,"n. 类似, 类似处
"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
likewise,"adv. 同样地, 也"
influential,"a. 有影响的, 有势力的"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
income,"n. 收入, 收益, 流入
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
structural,"a. 结构的, 建筑的
"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
arrange,"v. 安排, 排列, 达成协议
"
arrangement,"n. 排列, 整齐, 安排
"
marriage,"n. 婚姻, 结婚, 婚礼, 合并
"
intermarriage,"n. 异族结婚, 近亲结婚
"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
orderly,"a. 有秩序的, 整齐的, 值班的
n. 护理员, 清道夫, 传令兵, 勤务兵
adv. 依次地, 顺序地"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
talent,"n. 天才, 才能, 有才干的人, 天资"
talented,"a. 天资高的, 有才能的"
disadvantage,"n. 缺点, 不利, 坏处"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
forbid,"vt. 禁止, 不准, 妨碍
"
decrease,"n. 减少, 减少量
v. 减少"
confidence,"n. 信心
"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
whenever,"conj. 每当
adv. 不论何时, 每逢"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
carrot,"n. 胡萝卜
"
hydrogen,"n. 氢
"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
attendance,"n. 出席, 出席的人数, 照料
"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
movement,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章
"
bunch,"n. 串, 束
"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
ambition,"n. 野心, 志向"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
economy,"n. 经济, 理财, 节约
"
economic,"a. 经济上的, 实用的, 节省的
"
economics,"n. 经济学
"
economical,"a. 节俭的, 经济的, 合算的
"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
measurable,"a. 可测量的, 不久的, 重要的"
measurement,"n. 尺寸, 度量, 度量单位
"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
await,"vt. 等候
vi. 等待着"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
hence,"adv. 因此, 从此"
worsen,"vt. 使更坏, 使恶化
vi. 变得更坏, 恶化"
confusion,"n. 混乱, 混淆, 无秩序
"
ownership,"n. 所有权, 物主身份
"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
academy,"n. 学院, 院校, 学会"
steel,"n. 钢, 钢制品, 钢铁, 坚硬, 坚固
a. 钢的, 钢制的, 钢铁业的, 坚强的
vt. 使坚强, 钢化, 使冷酷"
tide,"n. 潮, 潮汐, 趋势, 潮流, 涨潮, 高潮
vt. 使随潮漂流
vi. 顺潮行驶"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
agency,"n. 代理机构, 经销商, 中介
"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
greenhouse,n. 温室
decade,"n. 十年, 十"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
freeze,"vi. 冻结, 冷冻, 僵硬, 楞住
vt. 使结冰, 使冻住, 使呆住
n. 结冰, 凝固
"
wire,"n. 电线, 电报, 电信, 铁丝网, 金属丝
vt. 用金属丝捆扎, 拍电报
vi. 打电报"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
thumb,"n. 拇指
vt. 以拇指拨弄, 笨拙地摆弄, 用拇指翻旧, 迅速翻阅, 作搭车手势"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
equality,"n. 平等, 均匀, 相等
"
inequality,"n. 不平等, 不同, 不平坦, 不平均
n. 不平等, 不等式
"
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
otherwise,"adv. 否则, 不同地, 别的方式"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
recognise,"vt. 认识, 辩认, 认出, 承认, 认可, 清楚地认识到, 自认, 公认, 赏识, 准许某人发言"
poet,n. 诗人
poetic,"a. 诗的, 诗意的, 诗人的"
poetry,"n. 诗, 韵文, 诗歌艺术"
wasteful,"a. 浪费的, 不经济的"
wastage,"n. 浪费, 浪费量, 废物
"
protect,"vt. 防卫, 保护, 警戒
"
protective,"a. 给予保护的, 保护的
"
lung,"n. 肺, 肺脏, 空地
"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
membership,"n. 会员的资格, 全体会员, 会员数目
"
fur,"n. 毛皮
vt. 以毛皮制作, 使生苔, 使生水垢
vi. 生苔, 积水垢"
slave,"n. 奴隶, 从动装置, 卑鄙的人
vi. 拼命工作
"
slavery,"n. 奴隶的身分, 奴隶状态, 奴隶制度
"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
dust,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱
vt. 拂去灰尘, 撒, 弄成粉末
vi. 拂去灰尘, 化为粉末"
destruction,"n. 破坏, 毁灭
"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
paycheck,"n. 付薪水的支票, 薪水"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
wholly,"adv. 完全地, 整个, 统统, 全部
"
muscle,"n. 肌肉, 臂力
"
rocket,"n. 火箭, 烟火
vi. 急升, 猛涨, 飞驰
vt. 用火箭运载"
accuracy,"n. 精确, 正确
"
inaccurate,"a. 错误的, 不准确的
"
distant,"a. 远的, 疏远的
"
discussion,n. 讨论
unknown,"a. 不知道的, 未知的, 陌生的
n. 未知物, 未知数"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
soften,"v. (使)变柔软, (使)变柔和"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
properly,"adv. 适当地, 相当地"
vocabulary,"n. 词汇(量), 词汇表
"
journal,"n. 日记, 杂志, 日报
"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
accountant,"n. 会计人员, 会计师
"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
recording,"a. 记录的, 记录用的
n. 录音"
recorder,"n. 记录员, 录音机
n. 记录器
"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
limitation,"n. 限制, 缺陷, 限额
"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
pin,"n. 大头针, 针, 别针, 栓, 销子, 图钉, 插头, 管脚, 品(液量单位)
vt. 将...用针别住, 钉住, 压住, 牵制, 使不能动, 归罪于
a. 针的, 销子的, 闩的"
